rows,cols,iterations,input,final,stack,read_s,compute_s,write_s,overall_s
128,128,170,../data/initial.dat,../data/final_serial.dat,disabled,6.103515625e-05,1.231908798e-03,1.699924469e-04,1.466989517e-03
128,128,170,../data/initial.dat,../data/final_serial.dat,disabled,6.484985352e-05,1.240968704e-03,1.740455627e-04,1.483917236e-03
128,128,170,../data/initial.dat,../data/final_serial.dat,disabled,5.602836609e-05,1.228094101e-03,1.699924469e-04,1.457929611e-03
128,128,170,../data/initial.dat,../data/final_serial.dat,disabled,6.103515625e-05,1.410961151e-03,1.749992371e-04,1.651048660e-03
128,128,190,../data/initial.dat,../data/final_serial.dat,disabled,6.198883057e-05,1.386165619e-03,1.749992371e-04,1.627206802e-03
128,128,190,../data/initial.dat,../data/final_serial.dat,disabled,7.009506226e-05,1.880168915e-03,1.649856567e-04,2.119064331e-03
128,128,190,../data/initial.dat,../data/final_serial.dat,disabled,5.698204041e-05,1.387119293e-03,2.288818359e-04,1.676797867e-03
128,128,190,../data/initial.dat,../data/final_serial.dat,disabled,4.911422729e-05,1.377105713e-03,1.740455627e-04,1.603126526e-03
128,128,190,../data/initial.dat,../data/final_serial.dat,disabled,5.602836609e-05,1.399993896e-03,1.459121704e-04,1.605033875e-03
192,192,10,../data/initial.dat,../data/final_serial.dat,disabled,1.158714294e-04,2.219676971e-04,2.439022064e-04,5.857944489e-04
192,192,10,../data/initial.dat,../data/final_serial.dat,disabled,1.201629639e-04,2.150535583e-04,2.460479736e-04,5.850791931e-04
192,192,10,../data/initial.dat,../data/final_serial.dat,disabled,1.549720764e-04,2.501010895e-04,2.579689026e-04,6.680488586e-04
192,192,10,../data/initial.dat,../data/final_serial.dat,disabled,1.640319824e-04,3.118515015e-04,2.441406250e-04,7.240772247e-04
192,192,10,../data/initial.dat,../data/final_serial.dat,disabled,9.608268738e-05,2.839565277e-04,2.269744873e-04,6.110668182e-04
192,192,30,../data/initial.dat,../data/final_serial.dat,disabled,1.099109650e-04,5.898475647e-04,2.291202545e-04,9.319782257e-04
192,192,30,../data/initial.dat,../data/final_serial.dat,disabled,9.894371033e-05,5.779266357e-04,2.291202545e-04,9.100437164e-04
192,192,30,../data/initial.dat,../data/final_serial.dat,disabled,1.099109650e-04,5.419254303e-04,2.679824829e-04,9.238719940e-04
192,192,30,../data/initial.dat,../data/final_serial.dat,disabled,9.298324585e-05,5.779266357e-04,2.138614655e-04,8.878707886e-04
