n,trial_index,total_s,read_s,compute_s,write_s
21000,4,2.03386024,0.590627883,1.442847664,0.000314982
21000,5,2.035587766,0.590554534,1.444650893,0.000312068
22000,1,2.20922383,0.626869956,1.582056825,0.000230324
22000,2,2.320617653,0.736683441,1.583542828,0.000323999
22000,3,2.211681409,0.624666517,1.586652813,0.000294594
22000,4,2.206352565,0.620856225,1.585074757,0.000353514
22000,5,2.209020177,0.62097136,1.587648043,0.000333207
23000,1,2.42073147,0.685766447,1.734626496,0.000268726
23000,2,2.539047293,0.80442699,1.734229841,0.000320142
23000,3,2.421941474,0.6868057,1.734757784,0.000306666
23000,4,2.4149534,0.682027089,1.732546056,0.000309362
23000,5,2.415614633,0.68188341,1.733354697,0.000307187
24000,1,4.573419987,2.689405008,1.883693815,0.0002441
24000,2,3.801826632,1.918755596,1.882654471,0.000339728
24000,3,2.699344864,0.81325248,1.885648711,0.000368494
24000,4,2.696149339,0.812079156,1.883626129,0.000367281
24000,5,2.699176207,0.812617116,1.886121329,0.000355758
25000,1,2.952193121,0.906434989,2.045393117,0.000286357
25000,2,3.100877694,1.054935443,2.045511991,0.000350508
25000,3,2.955672312,0.908008997,2.047232322,0.000350229
25000,4,2.95032497,0.903021033,2.04685762,0.000366518
25000,5,2.950371399,0.903764931,2.046140681,0.000386234
26000,1,4.256053219,2.044753443,2.21096199,0.000254539
26000,2,3.365819679,1.154457186,2.210705358,0.000573247
26000,3,3.280989387,1.067797787,2.212752244,0.000355558
26000,4,3.272290528,1.059635418,2.212210375,0.00036172
26000,5,3.273023075,1.06041929,2.212165962,0.000354066
27000,1,3.536408518,1.150897011,2.385133906,0.000291819
27000,2,3.722152171,1.334290458,2.387411947,0.000362732
27000,3,3.540722815,1.153949547,2.386315706,0.000370135
27000,4,3.533155914,1.146917984,2.385756365,0.000394792
27000,5,3.536624732,1.147722445,2.388449376,0.000366519
28000,1,3.855121028,1.285667514,2.569053682,0.000310523
28000,2,4.041420517,1.474377733,2.566579703,0.000373823
28000,3,3.853759279,1.282233622,2.57106915,0.000367981
28000,4,3.847251509,1.27873705,2.568063,0.000362091
28000,5,3.843616168,1.277008983,2.566141639,0.000375736
29000,1,5.328413062,2.500455227,2.827571941,0.000294243
29000,2,4.293742608,1.527353722,2.765862426,0.000435118
29000,3,4.215082451,1.447696393,2.766912469,0.000381707
29000,4,4.20750718,1.44600709,2.76100988,0.000381266
29000,5,4.201260145,1.438542277,2.762258867,0.000370244
30000,1,9.408977295,6.45179181,2.956780435,0.000313569
30000,2,6.458393801,3.505708309,2.952244473,0.000349286
30000,3,4.30127677,1.354555923,2.946240414,0.000351451
30000,4,4.298950195,1.349832521,2.948665596,0.00036143
30000,5,4.298568101,1.350763017,2.947354117,0.00036137
31000,1,5.330986972,2.175288066,3.155315155,0.000289865
31000,2,4.757448898,1.602918527,3.154066248,0.000370336
31000,3,4.596004345,1.439256829,3.156295948,0.000357562
31000,4,4.592628291,1.433577158,3.158582033,0.000376277
31000,5,4.592691051,1.436608584,3.155605891,0.000382879
32000,1,4.910568981,1.54449974,3.365669508,0.000300555
32000,2,5.146971273,1.783979776,3.362493341,0.000401014
32000,3,4.903316129,1.540560246,3.36227457,0.000378202
32000,4,4.90355055,1.533141166,3.369950852,0.000360447
32000,5,4.899802978,1.534203913,3.365125377,0.000375086
33000,1,5.358502085,1.68995383,3.668141481,0.000301057
33000,2,5.550946194,1.950725835,3.599696244,0.000406315
33000,3,5.248359426,1.649522507,3.598302796,0.000433153
33000,4,5.216733797,1.634990002,3.581207438,0.000433013
33000,5,5.253411546,1.636369785,3.615968577,0.000971615
34000,1,9.728558028,5.892089652,3.836051834,0.000307066
34000,2,5.759294318,1.945694342,3.813078435,0.000411383
34000,3,5.479504826,1.690003263,3.788987217,0.000402496
34000,4,5.480192487,1.682053595,3.797588259,0.000445056
34000,5,5.474987246,1.680832289,3.793661309,0.00038834
35000,1,12.920996507,8.821184239,4.099373893,0.000326534
35000,2,9.986408009,5.870466911,4.115424727,0.000395765
35000,3,6.060981169,2.01156427,4.048905599,0.000402276
35000,4,6.025460226,2.000174816,4.02476346,0.000408277
35000,5,6.02638836,1.996455906,4.029424489,0.000401184
36000,1,6.480758179,2.20676343,4.273557518,0.000328978
36000,2,6.784704806,2.517585536,4.266591349,0.00042059
36000,3,6.478067284,2.204364419,4.273171244,0.000421965
36000,4,6.464216011,2.193261774,4.269925024,0.000920139
36000,5,6.491460063,2.221070044,4.269084454,0.001196819
37000,1,6.854303825,2.345841439,4.507967077,0.000371237
37000,2,7.196280427,2.691290271,4.504423602,0.000448272
37000,3,6.864949072,2.347092799,4.517272447,0.000459644
37000,4,6.840714634,2.333103396,4.506796457,0.000695928
37000,5,6.864972517,2.351737498,4.512127146,0.000986865
38000,1,10.964868442,5.834629872,5.129780157,0.000334458
38000,2,8.645857012,3.629244416,5.016058784,0.000430228
38000,3,7.13441375,2.258802758,4.875070457,0.000423546
38000,4,6.870238747,2.117674025,4.752028354,0.000420661
38000,5,6.756468938,2.016957317,4.738960184,0.000435208
39000,1,17.558041668,11.939783361,5.617769118,0.00034087
39000,2,10.524505756,5.25251073,5.271405928,0.000440197
39000,3,7.617882489,2.604798134,5.012540693,0.000424488
39000,4,7.57826724,2.569715031,5.007969204,0.000442752
39000,5,7.578911111,2.569662322,5.008685099,0.000442261
40000,1,8.093772619,2.820953826,5.272327319,0.000370706
40000,2,8.474299538,3.213219977,5.260479613,0.000479431
40000,3,8.088132025,2.816154856,5.271390315,0.000463761
40000,4,8.110241382,2.848191599,5.259491968,0.002432843
40000,5,8.124663294,2.861815349,5.262275377,0.000451639
