iteration,label,job_avg,job_peak,section_job_avg,section_job_peak
0,seq_matvec,0.416736615,0.416736615,1.219343884,2953.735211268
0,seq_matvec,0.398632165,0.398632165,1.219175524,2953.735211268
0,seq_matvec,0.416385787,0.416385787,1.214365719,2953.735211268
0,seq_matvec,0.418462079,0.418462079,1.219812972,2953.735211268
0,seq_matvec,0.417268117,0.417268117,1.217161496,2953.735211268
0,seq_matvec,0.417347834,0.417347834,1.216578371,3084.047058824
0,seq_matvec,0.417177641,0.417177641,1.214705908,2912.711111111
0,seq_matvec,0.416968617,0.416968617,1.219000178,2953.735211268
0,seq_matvec,0.415320389,0.415320389,1.210507353,2279.513043478
0,seq_matvec,0.417972512,0.417972512,1.219729714,2953.735211268
0,seq_matvec,0.417146938,0.417146938,1.219620233,2912.711111111
0,seq_matvec,0.417578855,0.417578855,1.217303719,2912.711111111
0,seq_matvec,0.417696958,0.417696958,1.219498381,2912.711111111
0,seq_matvec,0.417358632,0.417358632,1.216815489,3130.077611940
0,seq_matvec,0.417993339,0.417993339,1.219291710,2953.735211268
0,seq_matvec,0.416774712,0.416774712,1.215087476,2953.735211268
0,seq_matvec,0.418056666,0.418056666,1.219987357,2912.711111111
0,seq_matvec,0.423688469,0.423688469,1.216514846,6078.701449275
0,seq_matvec,0.403534956,0.403534956,1.215892202,6034.969784173
0,seq_matvec,0.423875155,0.423875155,1.217794772,6078.701449275
0,seq_matvec,0.425178171,0.425178171,1.220752686,5866.159440559
0,seq_matvec,0.423931064,0.423931064,1.214220418,6078.701449275
0,seq_matvec,0.430019584,0.430019584,1.216297908,9162.314563107
0,seq_matvec,0.409726350,0.409726350,1.215906038,9162.314563107
0,seq_matvec,0.429465970,0.429465970,1.215529464,8987.794285714
0,seq_matvec,0.430791816,0.430791816,1.219337557,8987.794285714
0,seq_matvec,0.431093491,0.431093491,1.220011863,9162.314563107
0,seq_matvec,0.433431203,0.433431203,1.216462948,12291.000732601
0,seq_matvec,0.412309708,0.412309708,1.213003454,12113.513357401
0,seq_matvec,0.433098222,0.433098222,1.216686258,12113.513357401
0,seq_matvec,0.434362648,0.434362648,1.218128320,12113.513357401
0,seq_matvec,0.433911715,0.433911715,1.215500790,12113.513357401
0,seq_matvec,0.437969363,0.437969363,1.217836712,15240.930232558
0,seq_matvec,0.414952498,0.414952498,1.218581976,15065.747126437
0,seq_matvec,0.437193320,0.437193320,1.214919929,15285.364431487
0,seq_matvec,0.439043418,0.439043418,1.219963306,15240.930232558
0,seq_matvec,0.438096464,0.438096464,1.217943238,15240.930232558
0,seq_matvec,0.436276363,0.436276363,1.218462408,18369.214598540
0,seq_matvec,0.414588832,0.414588832,1.216138478,18369.214598540
0,seq_matvec,0.436083383,0.436083383,1.215931668,18192.161927711
0,seq_matvec,0.436952385,0.436952385,1.217090426,18369.214598540
0,seq_matvec,0.437028443,0.437028443,1.216640284,18148.430769231
0,seq_matvec,0.436662548,0.436662548,1.217527216,20268.332938856
0,seq_matvec,0.415483309,0.415483309,1.214679610,20268.332938856
0,seq_matvec,0.435708690,0.435708690,1.215213667,20268.332938856
0,seq_matvec,0.436525690,0.436525690,1.214622772,21319.595020747
0,seq_matvec,0.436879176,0.436879176,1.216456275,21498.001673640
0,seq_matvec,0.384016187,0.384016187,1.213259805,24627.106055046
0,seq_matvec,0.401202504,0.401202504,1.214350636,24627.106055046
0,seq_matvec,0.419860560,0.419860560,1.212363454,24403.223272727
0,seq_matvec,0.420893030,0.420893030,1.214469697,24627.106055046
0,seq_matvec,0.421074181,0.421074181,1.212847874,24627.106055046
