n,p,total_s,read_s,compute_s,write_s
6000,9,0.199651451,0.188080396,0.011313182,0.000213867
6000,10,0.190465342,0.179977924,0.010215869,0.000200099
6000,11,0.194596922,0.184984779,0.00932562,0.00022894
6000,12,0.217075141,0.20818437,0.008560176,0.000218846
6000,13,0.18970414,0.181496197,0.007948892,0.000176821
6000,14,0.239366433,0.231233064,0.007769257,0.000211683
6000,15,0.255893248,0.248165651,0.007407161,0.000222816
6000,16,0.202308726,0.195031082,0.007047757,0.000169599
6000,17,0.222348014,0.21521833,0.006796832,0.000220527
6000,18,0.219785464,0.212378957,0.007102698,0.000225158
6000,19,0.239427674,0.232221999,0.006863625,0.000213638
6000,20,0.251124223,0.244048777,0.006657708,0.000223069
7000,1,0.305383918,0.232471641,0.072761795,0.000127149
7000,2,0.274090748,0.237363601,0.036519698,0.000172943
7000,3,0.274575205,0.247278027,0.027079526,0.000190299
7000,4,0.268932428,0.248337153,0.020389553,0.000179754
7000,5,0.246112672,0.231101144,0.014730477,0.000200359
7000,6,0.257986127,0.244078204,0.013681405,0.000173488
7000,7,0.243031376,0.231036268,0.011770759,0.00019237
7000,8,0.252623405,0.24197211,0.010384637,0.000191535
7000,9,0.301483069,0.285694773,0.015427526,0.000289178
7000,10,0.308531712,0.294200419,0.01393613,0.000289075
7000,11,0.265886164,0.252930693,0.012654193,0.00022977
7000,12,0.299970411,0.287908278,0.011698072,0.000281846
7000,13,0.268535998,0.257460172,0.010808087,0.000207728
7000,14,0.263600621,0.253263662,0.01006608,0.000193348
7000,15,0.266838558,0.25659336,0.010002996,0.000173094
7000,16,0.304925972,0.295125683,0.00955425,0.000179457
7000,17,0.263449699,0.254014829,0.009158749,0.000186013
7000,18,0.307023725,0.29687253,0.009743714,0.00022836
7000,19,0.288228405,0.27852962,0.009363808,0.000181824
7000,20,0.292863886,0.283537733,0.008964913,0.000226563
8000,1,0.393753529,0.298844493,0.094737843,0.000144785
8000,2,0.351075589,0.303103146,0.047745138,0.000182705
8000,3,0.345832433,0.31027245,0.035341218,0.000184628
8000,4,0.337816121,0.313374008,0.024178642,0.000216739
8000,5,0.326269091,0.306798908,0.01922074,0.000199777
8000,6,0.321368119,0.304890334,0.016207108,0.000206648
8000,7,0.322851185,0.307166158,0.015417843,0.000210588
8000,8,0.328307315,0.314482299,0.013580118,0.000211185
8000,9,0.337785415,0.317433688,0.020064766,0.000228673
8000,10,0.332218366,0.313771626,0.018139775,0.000234822
8000,11,0.345835814,0.32897641,0.016546959,0.000241761
8000,12,0.3491215,0.333589216,0.015230783,0.000245597
8000,13,0.345058766,0.330617941,0.014109141,0.000246487
8000,14,0.366912665,0.353366342,0.013166967,0.000250138
8000,15,0.39215038,0.373397333,0.01295982,0.005729242
8000,16,0.3544925,0.340226667,0.014007067,0.00018433
8000,17,0.377437696,0.365242977,0.011883443,0.000219543
8000,18,0.414915077,0.401835589,0.01268549,0.000245676
8000,19,0.416211652,0.40365857,0.012139254,0.000253982
8000,20,0.413714731,0.401724204,0.011649781,0.000250633
9000,1,0.512910093,0.392201818,0.120521138,0.000153091
9000,2,0.461274939,0.400626107,0.060401983,0.000214283
9000,3,0.442013199,0.401434763,0.040352969,0.000195944
9000,4,0.437602541,0.403432565,0.033904273,0.000236448
9000,5,0.426424077,0.399155854,0.026991576,0.000220612
9000,6,0.41310392,0.392510601,0.020305495,0.000214003
9000,7,0.423277526,0.403518049,0.019483963,0.000242742
9000,8,0.42864222,0.411177457,0.017180565,0.000218195
