n,p,a,b,answer,time_seconds,speedup,efficiency
100000000,1,10.0,20.0,2333.333333332452,0.049184,1.0,1.0
100000000,2,10.0,20.0,2333.333333333584,0.028858,1.7043454154827082,0.8521727077413541
100000000,3,10.0,20.0,2333.333333333147,0.02278,2.1590869183494292,0.7196956394498097
100000000,4,10.0,20.0,2333.333333333384,0.018611,2.6427381656009885,0.6606845414002471
100000000,5,10.0,20.0,2333.333333333177,0.018004,2.7318373694734506,0.5463674738946901
100000000,6,10.0,20.0,2333.333333333259,0.01074,4.57951582867784,0.7632526381129733
100000000,7,10.0,20.0,2333.333333333227,0.014459,3.4016183691818243,0.4859454813116892
100000000,8,10.0,20.0,2333.333333333365,0.008818,5.5776820140621455,0.6972102517577682
100000000,9,10.0,20.0,2333.333333333316,0.011554,4.256880733944954,0.47298674821610603
100000000,10,10.0,20.0,2333.333333333313,0.0112,4.3914285714285715,0.43914285714285717
100000000,11,10.0,20.0,2333.33333333339,0.011688,4.20807665982204,0.38255242362018543
100000000,12,10.0,20.0,2333.333333333347,0.023693,2.075887392900857,0.1729906160750714
100000000,13,10.0,20.0,2333.333333333335,0.018247,2.69545678741711,0.20734282980131613
100000000,14,10.0,20.0,2333.333333333323,0.02844,1.729395218002813,0.12352822985734378
100000000,15,10.0,20.0,2333.33333333343,0.010105,4.867293419099456,0.32448622793996373
100000000,16,10.0,20.0,2333.333333333353,0.010384,4.7365177195685675,0.29603235747303547
100000000,17,10.0,20.0,2333.333333333388,0.023592,2.084774499830451,0.1226337941076736
100000000,18,10.0,20.0,2333.333333333321,0.009055,5.431695196024296,0.30176084422357197
100000000,19,10.0,20.0,2333.333333333379,0.014652,3.356811356811357,0.17667428193743984
100000000,20,10.0,20.0,2333.333333333384,0.008537,5.761274452383741,0.28806372261918706
200000000,1,10.0,20.0,2333.333333333117,0.084076,1.0,1.0
200000000,2,10.0,20.0,2333.333333332687,0.038711,2.17188912712149,1.085944563560745
200000000,3,10.0,20.0,2333.333333333745,0.034705,2.422590404840801,0.8075301349469336
200000000,4,10.0,20.0,2333.333333333569,0.022829,3.682859520784967,0.9207148801962417
200000000,5,10.0,20.0,2333.333333333299,0.017455,4.81672873102263,0.9633457462045261
200000000,6,10.0,20.0,2333.333333333408,0.021673,3.8792968209292664,0.6465494701548777
200000000,7,10.0,20.0,2333.333333333282,0.021013,4.001142150097558,0.5715917357282226
200000000,8,10.0,20.0,2333.33333333337,0.040938,2.0537398016512776,0.2567174752064097
200000000,9,10.0,20.0,2333.333333333419,0.021107,3.9833230681764342,0.4425914520196038
200000000,10,10.0,20.0,2333.333333333318,0.020582,4.084928578369449,0.4084928578369449
200000000,11,10.0,20.0,2333.333333333387,0.017836,4.713837183224938,0.4285306530204489
200000000,12,10.0,20.0,2333.333333333365,0.017243,4.875949660731891,0.4063291383943242
200000000,13,10.0,20.0,2333.333333333317,0.013888,6.0538594470046085,0.46568149592343144
200000000,14,10.0,20.0,2333.33333333331,0.015355,5.4754802995766845,0.3911057356840489
200000000,15,10.0,20.0,2333.333333333303,0.013079,6.428320207966969,0.42855468053113127
200000000,16,10.0,20.0,2333.333333333429,0.038473,2.185324773217581,0.13658279832609882
200000000,17,10.0,20.0,2333.333333333358,0.027238,3.0867170864233793,0.1815715933190223
200000000,18,10.0,20.0,2333.333333333335,0.013149,6.394098410525515,0.35522768947363975
200000000,19,10.0,20.0,2333.333333333365,0.029237,2.875671238499162,0.15135111781574537
200000000,20,10.0,20.0,2333.333333333304,0.011698,7.1872114891434435,0.3593605744571722
300000000,1,10.0,20.0,2333.333333333536,0.121926,1.0,1.0
300000000,2,10.0,20.0,2333.333333333735,0.066363,1.8372587134397178,0.9186293567198589
300000000,3,10.0,20.0,2333.333333333098,0.046491,2.6225721107311095,0.8741907035770365
300000000,4,10.0,20.0,2333.333333333148,0.036303,3.3585654078175358,0.8396413519543839
300000000,5,10.0,20.0,2333.333333333256,0.034611,3.5227528820317238,0.7045505764063448
300000000,6,10.0,20.0,2333.333333333317,0.027146,4.491490458999484,0.7485817431665808
300000000,7,10.0,20.0,2333.333333333222,0.022702,5.370716236454938,0.7672451766364198
300000000,8,10.0,20.0,2333.333333333415,0.024396,4.997786522380718,0.6247233152975897
300000000,9,10.0,20.0,2333.333333333379,0.067846,1.7970993131503699,0.1996777014611522
300000000,10,10.0,20.0,2333.333333333266,0.021518,5.666232921275212,0.5666232921275212
300000000,11,10.0,20.0,2333.333333333338,0.021739,5.60862965177791,0.509875422888901
300000000,12,10.0,20.0,2333.333333333319,0.021998,5.542594781343759,0.4618828984453132
300000000,13,10.0,20.0,2333.333333333433,0.021261,5.734725553830959,0.44113273491007376
300000000,14,10.0,20.0,2333.333333333298,0.051952,2.3468971358176782,0.16763550970126273
300000000,15,10.0,20.0,2333.333333333248,0.052652,2.3156955101420653,0.15437970067613768
300000000,16,10.0,20.0,2333.333333333419,0.049119,2.4822573749465584,0.1551410859341599
300000000,17,10.0,20.0,2333.333333333312,0.016525,7.378275340393343,0.4340161964937261
300000000,18,10.0,20.0,2333.333333333447,0.049325,2.4718905220476435,0.13732725122486908
300000000,19,10.0,20.0,2333.333333333378,0.016214,7.519797705686445,0.3957788266150761
300000000,20,10.0,20.0,2333.333333333291,0.031909,3.8210536212353885,0.19105268106176942
400000000,1,10.0,20.0,2333.333333333353,0.160136,1.0,1.0
400000000,2,10.0,20.0,2333.333333333313,0.085156,1.8805016675278314,0.9402508337639157
400000000,3,10.0,20.0,2333.333333333417,0.060213,2.659492136249647,0.8864973787498823
400000000,4,10.0,20.0,2333.33333333312,0.046913,3.4134674823609656,0.8533668705902414
400000000,5,10.0,20.0,2333.333333333325,0.035655,4.4912634974056935,0.8982526994811387
400000000,6,10.0,20.0,2333.333333333288,0.029244,5.47585829571878,0.9126430492864633
400000000,7,10.0,20.0,2333.333333333266,0.039086,4.097016834672261,0.5852881192388945
400000000,8,10.0,20.0,2333.333333333323,0.035714,4.483843870750966,0.5604804838438707
400000000,9,10.0,20.0,2333.333333333311,0.034697,4.615269331642505,0.5128077035158339
400000000,10,10.0,20.0,2333.333333333363,0.053392,2.999250824093497,0.2999250824093497
400000000,11,10.0,20.0,2333.333333333248,0.02905,5.5124268502581755,0.5011297136598342
400000000,12,10.0,20.0,2333.333333333233,0.030309,5.283447160909301,0.4402872634091084
400000000,13,10.0,20.0,2333.333333333258,0.028017,5.715672627333404,0.43966712517949263
400000000,14,10.0,20.0,2333.33333333336,0.026454,6.053375670976035,0.4323839764982882
400000000,15,10.0,20.0,2333.333333333358,0.023871,6.708390934606845,0.447226062307123
400000000,16,10.0,20.0,2333.33333333335,0.07432,2.154682454251884,0.13466765339074274
400000000,17,10.0,20.0,2333.333333333302,0.022193,7.215608525210651,0.42444756030650893
400000000,18,10.0,20.0,2333.333333333338,0.020337,7.874121060136696,0.43745117000759426
400000000,19,10.0,20.0,2333.33333333335,0.052994,3.0217760501188815,0.159040844743099
400000000,20,10.0,20.0,2333.333333333352,0.022139,7.233208365328155,0.3616604182664077
500000000,1,10.0,20.0,2333.333333332875,0.197745,1.0,1.0
500000000,2,10.0,20.0,2333.333333333288,0.104063,1.9002431219549696,0.9501215609774848
500000000,3,10.0,20.0,2333.333333333299,0.067242,2.9407959311144825,0.9802653103714941
500000000,4,10.0,20.0,2333.333333333679,0.05551,3.5623311115114396,0.8905827778778599
500000000,5,10.0,20.0,2333.333333333397,0.04289,4.610515271625088,0.9221030543250176
500000000,6,10.0,20.0,2333.333333333562,0.039139,5.052377424052735,0.8420629040087891
500000000,7,10.0,20.0,2333.333333333363,0.035541,5.563855828479784,0.7948365469256834
500000000,8,10.0,20.0,2333.333333333544,0.037158,5.32173421605038,0.6652167770062976
500000000,9,10.0,20.0,2333.333333333547,0.042794,4.62085806421461,0.5134286738016233
500000000,10,10.0,20.0,2333.333333333525,0.034858,5.67287279820988,0.567287279820988
500000000,11,10.0,20.0,2333.333333333365,0.035124,5.629911171848309,0.5118101065316645
500000000,12,10.0,20.0,2333.333333333361,0.037146,5.323453400096915,0.44362111667474297
500000000,13,10.0,20.0,2333.33333333331,0.032889,6.0124965794034475,0.46249973687718826
500000000,14,10.0,20.0,2333.333333333331,0.066122,2.9906082695623244,0.2136148763973089
500000000,15,10.0,20.0,2333.33333333321,0.03558,5.557757166947724,0.37051714446318157
500000000,16,10.0,20.0,2333.333333333267,0.060217,3.283873324808609,0.20524208280053807
500000000,17,10.0,20.0,2333.333333333268,0.064975,3.0434013081954596,0.17902360636443881
500000000,18,10.0,20.0,2333.333333333329,0.056875,3.476835164835165,0.19315750915750918
500000000,19,10.0,20.0,2333.333333333252,0.059393,3.329432761436533,0.17523330323350175
500000000,20,10.0,20.0,2333.33333333321,0.023078,8.568550134327065,0.42842750671635327
600000000,1,10.0,20.0,2333.333333333299,0.236502,1.0,1.0
600000000,2,10.0,20.0,2333.333333333362,0.122286,1.9340071635346645,0.9670035817673323
600000000,3,10.0,20.0,2333.333333333396,0.077423,3.0546736757810984,1.0182245585936995
600000000,4,10.0,20.0,2333.333333333361,0.060064,3.9375,0.984375
