neutron_id,step,x_start,y_start,x_end,y_end,event
100,1,0.0000000000,0.0000000000,2.7500000000,0.0000000000,exit_right
200,1,0.0000000000,0.0000000000,2.7500000000,0.0000000000,exit_right
300,1,0.0000000000,0.0000000000,0.2641451384,0.0000000000,scatter
300,2,0.2641451384,0.0000000000,0.1066513105,0.0291466100,scatter
300,3,0.1066513105,0.0291466100,0.7243586096,-3.4024855827,scatter
300,4,0.7243586096,-3.4024855827,0.7597536338,-2.8379105385,scatter
300,5,0.7597536338,-2.8379105385,2.7500000000,-6.6814695394,exit_right
400,1,0.0000000000,0.0000000000,0.8662172114,0.0000000000,scatter
400,2,0.8662172114,0.0000000000,0.3650659768,0.6474311188,scatter
400,3,0.3650659768,0.6474311188,0.1505289399,3.1105883416,absorb
500,1,0.0000000000,0.0000000000,0.7643785917,0.0000000000,absorb
600,1,0.0000000000,0.0000000000,0.7664998503,0.0000000000,absorb
700,1,0.0000000000,0.0000000000,2.6276082892,0.0000000000,scatter
700,2,2.6276082892,0.0000000000,0.9608008421,1.8505802629,scatter
700,3,0.9608008421,1.8505802629,0.9679752164,1.9537384484,scatter
700,4,0.9679752164,1.9537384484,1.2897533136,2.0535589023,scatter
700,5,1.2897533136,2.0535589023,1.8440842753,2.8881041893,scatter
700,6,1.8440842753,2.8881041893,0.0000000000,1.7828402331,exit_left
800,1,0.0000000000,0.0000000000,0.2016325009,0.0000000000,scatter
800,2,0.2016325009,0.0000000000,0.0000000000,1.0694939117,exit_left
900,1,0.0000000000,0.0000000000,2.7500000000,0.0000000000,exit_right
1000,1,0.0000000000,0.0000000000,2.7500000000,0.0000000000,exit_right
1100,1,0.0000000000,0.0000000000,2.0778742010,0.0000000000,scatter
1100,2,2.0778742010,0.0000000000,0.0000000000,-0.3193103992,exit_left
1200,1,0.0000000000,0.0000000000,2.6889309876,0.0000000000,scatter
1200,2,2.6889309876,0.0000000000,2.7500000000,-0.0406145805,exit_right
1300,1,0.0000000000,0.0000000000,0.4227883433,0.0000000000,scatter
1300,2,0.4227883433,0.0000000000,0.2765654637,-0.7308285349,scatter
1300,3,0.2765654637,-0.7308285349,2.7500000000,0.4068645825,exit_right
1400,1,0.0000000000,0.0000000000,0.4202892392,0.0000000000,absorb
1500,1,0.0000000000,0.0000000000,0.0902955634,0.0000000000,scatter
1500,2,0.0902955634,0.0000000000,0.2334181424,0.0611828894,scatter
