neutron_id,step,x_start,y_start,x_end,y_end,event
100,1,0.0000000000,0.0000000000,2.5753171093,0.0000000000,scatter
100,2,2.5753171093,0.0000000000,1.6732374692,1.2186838066,scatter
100,3,1.6732374692,1.2186838066,4.9738100018,1.1683329230,scatter
100,4,4.9738100018,1.1683329230,5.0000000000,1.1692931289,exit_right
200,1,0.0000000000,0.0000000000,0.0783267503,0.0000000000,scatter
200,2,0.0783267503,0.0000000000,0.0000000000,0.0857180798,exit_left
300,1,0.0000000000,0.0000000000,1.8073168539,0.0000000000,scatter
300,2,1.8073168539,0.0000000000,2.1777893549,-2.1584692111,scatter
300,3,2.1777893549,-2.1584692111,0.8379459625,-0.6609762042,scatter
300,4,0.8379459625,-0.6609762042,4.8004420721,-3.9107031955,scatter
300,5,4.8004420721,-3.9107031955,0.0000000000,-3.0137566754,exit_left
400,1,0.0000000000,0.0000000000,0.4981723641,0.0000000000,scatter
400,2,0.4981723641,0.0000000000,0.0000000000,-0.0174826910,exit_left
500,1,0.0000000000,0.0000000000,0.4653046023,0.0000000000,scatter
500,2,0.4653046023,0.0000000000,0.0893449503,2.3644519151,scatter
500,3,0.0893449503,2.3644519151,0.0192088166,1.1768107245,scatter
500,4,0.0192088166,1.1768107245,0.0000000000,0.5594794923,exit_left
600,1,0.0000000000,0.0000000000,3.6921361888,0.0000000000,absorb
700,1,0.0000000000,0.0000000000,1.7318750282,0.0000000000,scatter
700,2,1.7318750282,0.0000000000,0.0000000000,-1.2367924432,exit_left
800,1,0.0000000000,0.0000000000,0.1426192203,0.0000000000,scatter
800,2,0.1426192203,0.0000000000,1.9988115484,-1.7553697075,scatter
800,3,1.9988115484,-1.7553697075,2.2244293053,-1.8281765345,scatter
800,4,2.2244293053,-1.8281765345,2.7491521054,-2.0355446214,absorb
900,1,0.0000000000,0.0000000000,3.7123517299,0.0000000000,scatter
900,2,3.7123517299,0.0000000000,1.6521311302,0.2626755249,absorb
1000,1,0.0000000000,0.0000000000,1.0140215016,0.0000000000,scatter
1000,2,1.0140215016,0.0000000000,2.8567627108,-0.6362669020,scatter
1000,3,2.8567627108,-0.6362669020,2.9695286634,-0.4622286976,scatter
1000,4,2.9695286634,-0.4622286976,4.4109764049,-0.6327031786,scatter
1000,5,4.4109764049,-0.6327031786,5.0000000000,-0.8520344469,exit_right
1100,1,0.0000000000,0.0000000000,0.4704429998,0.0000000000,scatter
1100,2,0.4704429998,0.0000000000,0.9242498490,0.8524345555,scatter
1100,3,0.9242498490,0.8524345555,0.7113184668,1.3912289062,scatter
1100,4,0.7113184668,1.3912289062,0.9265292919,2.6010236101,absorb
1200,1,0.0000000000,0.0000000000,1.4683099786,0.0000000000,scatter
1200,2,1.4683099786,0.0000000000,2.2152044052,0.1412006078,scatter
1200,3,2.2152044052,0.1412006078,2.2295240469,0.1734646259,scatter
1200,4,2.2295240469,0.1734646259,1.7685771832,0.2500283947,scatter
1200,5,1.7685771832,0.2500283947,3.1014226800,0.7197359030,scatter
1200,6,3.1014226800,0.7197359030,1.4376737161,0.3261328102,scatter
1200,7,1.4376737161,0.3261328102,0.0000000000,-2.9312000306,exit_left
1300,1,0.0000000000,0.0000000000,1.7419915451,0.0000000000,scatter
1300,2,1.7419915451,0.0000000000,1.8435770965,-0.4706944058,scatter
1300,3,1.8435770965,-0.4706944058,0.9207692278,-1.1415388818,scatter
1300,4,0.9207692278,-1.1415388818,1.0790035421,-0.2096588309,scatter
1300,5,1.0790035421,-0.2096588309,1.4683804477,-0.7356437175,absorb
1400,1,0.0000000000,0.0000000000,2.4993299494,0.0000000000,scatter
1400,2,2.4993299494,0.0000000000,2.9659531771,0.1590637592,scatter
1400,3,2.9659531771,0.1590637592,3.3446545610,0.1959455003,scatter
1400,4,3.3446545610,0.1959455003,2.7081294018,0.5939304401,scatter
1400,5,2.7081294018,0.5939304401,2.5611068477,-1.3099714796,scatter
1400,6,2.5611068477,-1.3099714796,1.2505513342,-2.7715914121,scatter
1400,7,1.2505513342,-2.7715914121,0.0000000000,-2.6457309080,exit_left
1500,1,0.0000000000,0.0000000000,1.2618799346,0.0000000000,absorb
1600,1,0.0000000000,0.0000000000,1.4018114329,0.0000000000,absorb
1700,1,0.0000000000,0.0000000000,2.4637137438,0.0000000000,scatter
1700,2,2.4637137438,0.0000000000,2.4463087658,-0.6790053760,scatter
1700,3,2.4463087658,-0.6790053760,1.6690856260,-0.8592983974,scatter
1700,4,1.6690856260,-0.8592983974,0.0000000000,-1.4773406760,exit_left
1800,1,0.0000000000,0.0000000000,0.4601925067,0.0000000000,scatter
1800,2,0.4601925067,0.0000000000,0.0000000000,0.8547422015,exit_left
1900,1,0.0000000000,0.0000000000,0.2366335115,0.0000000000,scatter
1900,2,0.2366335115,0.0000000000,0.0000000000,-0.0205968199,exit_left
2000,1,0.0000000000,0.0000000000,5.0000000000,0.0000000000,exit_right
2100,1,0.0000000000,0.0000000000,5.0000000000,0.0000000000,exit_right
2200,1,0.0000000000,0.0000000000,1.7714039894,0.0000000000,scatter
2200,2,1.7714039894,0.0000000000,5.0000000000,-1.7669411207,exit_right
2300,1,0.0000000000,0.0000000000,0.3625879668,0.0000000000,scatter
2300,2,0.3625879668,0.0000000000,2.0294755284,0.2869667559,absorb
2400,1,0.0000000000,0.0000000000,2.6160119635,0.0000000000,scatter
2400,2,2.6160119635,0.0000000000,2.1129467434,-0.5739203248,scatter
2400,3,2.1129467434,-0.5739203248,0.0000000000,0.3679855672,exit_left
2500,1,0.0000000000,0.0000000000,1.2310651791,0.0000000000,scatter
2500,2,1.2310651791,0.0000000000,1.2435549756,-0.0668173565,scatter
2500,3,1.2435549756,-0.0668173565,0.8967830506,-0.8808624723,absorb
2600,1,0.0000000000,0.0000000000,1.0234129179,0.0000000000,scatter
2600,2,1.0234129179,0.0000000000,0.6268076564,-3.9845031260,scatter
2600,3,0.6268076564,-3.9845031260,0.9252455847,-4.5039929558,scatter
2600,4,0.9252455847,-4.5039929558,0.7842725511,-3.8202006351,scatter
2600,5,0.7842725511,-3.8202006351,0.0000000000,-2.6727134086,exit_left
2700,1,0.0000000000,0.0000000000,3.9543905748,0.0000000000,scatter
2700,2,3.9543905748,0.0000000000,3.2218848154,0.6366823571,scatter
2700,3,3.2218848154,0.6366823571,3.5896259648,0.9645184623,scatter
2700,4,3.5896259648,0.9645184623,1.1735163143,2.7964918316,scatter
2700,5,1.1735163143,2.7964918316,3.1991559515,-1.0062718941,scatter
2700,6,3.1991559515,-1.0062718941,2.0120149223,-2.7822968931,scatter
2700,7,2.0120149223,-2.7822968931,2.4976441489,-3.0071113074,scatter
2700,8,2.4976441489,-3.0071113074,2.6310207229,-1.9394398771,scatter
2700,9,2.6310207229,-1.9394398771,2.5610486270,-2.1150260056,scatter
2700,10,2.5610486270,-2.1150260056,0.0000000000,-1.6257925172,exit_left
2800,1,0.0000000000,0.0000000000,1.3126886885,0.0000000000,scatter
2800,2,1.3126886885,0.0000000000,1.2513453863,0.1685579017,scatter
2800,3,1.2513453863,0.1685579017,1.9122211045,2.8616819889,absorb
2900,1,0.0000000000,0.0000000000,0.8535050586,0.0000000000,absorb
3000,1,0.0000000000,0.0000000000,4.0849387663,0.0000000000,scatter
3000,2,4.0849387663,0.0000000000,0.0000000000,0.4364030906,exit_left
3100,1,0.0000000000,0.0000000000,1.1746490901,0.0000000000,scatter
3100,2,1.1746490901,0.0000000000,0.0000000000,-0.1615408164,exit_left
3200,1,0.0000000000,0.0000000000,0.0901565757,0.0000000000,scatter
3200,2,0.0901565757,0.0000000000,0.0000000000,-0.0000140512,exit_left
3300,1,0.0000000000,0.0000000000,2.8184840786,0.0000000000,scatter
3300,2,2.8184840786,0.0000000000,2.7064411016,1.0343769801,scatter
3300,3,2.7064411016,1.0343769801,3.4403266726,2.0060570265,scatter
3300,4,3.4403266726,2.0060570265,3.8977168267,0.2402993521,scatter
3300,5,3.8977168267,0.2402993521,3.8886942280,-0.0597906656,scatter
3300,6,3.8886942280,-0.0597906656,5.0000000000,-2.9898287855,exit_right
3400,1,0.0000000000,0.0000000000,0.8114647322,0.0000000000,scatter
3400,2,0.8114647322,0.0000000000,2.6153283167,-1.8403614075,absorb
3500,1,0.0000000000,0.0000000000,0.4950765654,0.0000000000,absorb
3600,1,0.0000000000,0.0000000000,0.3184335404,0.0000000000,scatter
3600,2,0.3184335404,0.0000000000,0.6847777615,-2.1910350244,scatter
3600,3,0.6847777615,-2.1910350244,0.0000000000,-1.7029987219,exit_left
3700,1,0.0000000000,0.0000000000,2.1267274766,0.0000000000,scatter
3700,2,2.1267274766,0.0000000000,1.1644388230,-0.5465441547,scatter
3700,3,1.1644388230,-0.5465441547,4.5705686575,-1.4171206278,scatter
3700,4,4.5705686575,-1.4171206278,0.4949975067,-1.3772549189,scatter
3700,5,0.4949975067,-1.3772549189,0.0000000000,-1.5701744576,exit_left
3800,1,0.0000000000,0.0000000000,0.4339269815,0.0000000000,scatter
3800,2,0.4339269815,0.0000000000,0.4807784751,-0.0340750557,scatter
3800,3,0.4807784751,-0.0340750557,0.0917845047,-0.2998849050,scatter
3800,4,0.0917845047,-0.2998849050,0.0000000000,-0.3115957790,exit_left
3900,1,0.0000000000,0.0000000000,0.2601694930,0.0000000000,scatter
3900,2,0.2601694930,0.0000000000,0.0000000000,0.1449298466,exit_left
4000,1,0.0000000000,0.0000000000,2.8959403265,0.0000000000,scatter
4000,2,2.8959403265,0.0000000000,3.0275066906,0.0172966671,scatter
4000,3,3.0275066906,0.0172966671,3.0998438404,-0.4315499767,scatter
4000,4,3.0998438404,-0.4315499767,1.6653023741,-2.3224955047,scatter
4000,5,1.6653023741,-2.3224955047,2.2202599391,-6.0037114049,scatter
4000,6,2.2202599391,-6.0037114049,2.1526500093,-4.6958520244,scatter
4000,7,2.1526500093,-4.6958520244,3.1834096069,-4.1216734648,scatter
4000,8,3.1834096069,-4.1216734648,3.2227667248,-3.5534616025,scatter
4000,9,3.2227667248,-3.5534616025,3.9402135878,-4.6889878279,scatter
4000,10,3.9402135878,-4.6889878279,3.6245597743,-6.0138854173,absorb
4100,1,0.0000000000,0.0000000000,1.3435816650,0.0000000000,scatter
4100,2,1.3435816650,0.0000000000,1.2365772999,-0.5316957053,scatter
4100,3,1.2365772999,-0.5316957053,1.2295555913,-0.4989082320,scatter
4100,4,1.2295555913,-0.4989082320,1.0756747311,-0.1020688962,scatter
4100,5,1.0756747311,-0.1020688962,1.4548633100,0.8285012367,scatter
4100,6,1.4548633100,0.8285012367,0.0000000000,1.3578564343,exit_left
4200,1,0.0000000000,0.0000000000,4.1441750970,0.0000000000,absorb
4300,1,0.0000000000,0.0000000000,0.2841842106,0.0000000000,scatter
4300,2,0.2841842106,0.0000000000,0.0000000000,0.1950238139,exit_left
4400,1,0.0000000000,0.0000000000,2.2911755202,0.0000000000,scatter
4400,2,2.2911755202,0.0000000000,2.7976471117,-2.9041995960,scatter
4400,3,2.7976471117,-2.9041995960,3.7961134107,-3.3069700009,scatter
4400,4,3.7961134107,-3.3069700009,2.1435824991,-3.1390409644,scatter
4400,5,2.1435824991,-3.1390409644,1.7698041025,-3.5759283131,scatter
4400,6,1.7698041025,-3.5759283131,5.0000000000,-6.3514455214,exit_right
