neutron_id,step,x_start,y_start,x_end,y_end,event
100,1,0.0000000000,0.0000000000,0.1236954640,0.0000000000,scatter
100,2,0.1236954640,0.0000000000,0.2702832549,-0.0049427765,scatter
100,3,0.2702832549,-0.0049427765,0.0000000000,-0.6240249774,exit_left
200,1,0.0000000000,0.0000000000,0.5339110649,0.0000000000,scatter
200,2,0.5339110649,0.0000000000,0.0000000000,0.1231860489,exit_left
300,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
400,1,0.0000000000,0.0000000000,0.0782889697,0.0000000000,scatter
400,2,0.0782889697,0.0000000000,1.2500000000,-1.1151585610,exit_right
500,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
600,1,0.0000000000,0.0000000000,1.0313972547,0.0000000000,scatter
600,2,1.0313972547,0.0000000000,1.2500000000,0.0226518725,exit_right
700,1,0.0000000000,0.0000000000,0.4662847767,0.0000000000,scatter
700,2,0.4662847767,0.0000000000,0.8147008822,0.6511968358,scatter
700,3,0.8147008822,0.6511968358,0.0000000000,0.8248561200,exit_left
800,1,0.0000000000,0.0000000000,0.2123817226,0.0000000000,scatter
800,2,0.2123817226,0.0000000000,0.0000000000,-0.3686275474,exit_left
900,1,0.0000000000,0.0000000000,1.2358850060,0.0000000000,scatter
900,2,1.2358850060,0.0000000000,1.2500000000,0.0079051925,exit_right
1000,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
1100,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
1200,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
1300,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
1400,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
1500,1,0.0000000000,0.0000000000,1.1312198515,0.0000000000,absorb
1600,1,0.0000000000,0.0000000000,0.6065776023,0.0000000000,absorb
1700,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
1800,1,0.0000000000,0.0000000000,0.0481544997,0.0000000000,scatter
1800,2,0.0481544997,0.0000000000,0.0000000000,-0.0007564436,exit_left
1900,1,0.0000000000,0.0000000000,1.0671680682,0.0000000000,scatter
1900,2,1.0671680682,0.0000000000,1.2500000000,0.0340325577,exit_right
2000,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
2100,1,0.0000000000,0.0000000000,0.4657695355,0.0000000000,scatter
2100,2,0.4657695355,0.0000000000,0.0000000000,-0.0332561096,exit_left
2200,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
2300,1,0.0000000000,0.0000000000,0.5448029166,0.0000000000,scatter
2300,2,0.5448029166,0.0000000000,1.2500000000,0.3181314540,exit_right
2400,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
2500,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
2600,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
2700,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
2800,1,0.0000000000,0.0000000000,0.8183113132,0.0000000000,scatter
2800,2,0.8183113132,0.0000000000,0.0000000000,-0.8917906299,exit_left
2900,1,0.0000000000,0.0000000000,0.5806431901,0.0000000000,scatter
2900,2,0.5806431901,0.0000000000,1.2500000000,1.2485069881,exit_right
3000,1,0.0000000000,0.0000000000,0.6157520283,0.0000000000,absorb
3100,1,0.0000000000,0.0000000000,0.4643900039,0.0000000000,scatter
3100,2,0.4643900039,0.0000000000,0.0000000000,1.1817213383,exit_left
3200,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
3300,1,0.0000000000,0.0000000000,0.6835599336,0.0000000000,absorb
3400,1,0.0000000000,0.0000000000,0.4315711251,0.0000000000,scatter
3400,2,0.4315711251,0.0000000000,0.2169050654,0.3119062669,scatter
3400,3,0.2169050654,0.3119062669,0.0000000000,0.5665999002,exit_left
3500,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
3600,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
3700,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
3800,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
3900,1,0.0000000000,0.0000000000,0.6736081270,0.0000000000,scatter
3900,2,0.6736081270,0.0000000000,0.3140060401,-0.4818715913,scatter
3900,3,0.3140060401,-0.4818715913,1.1194363077,0.6046488696,scatter
3900,4,1.1194363077,0.6046488696,0.0000000000,0.7142679656,exit_left
4000,1,0.0000000000,0.0000000000,0.9407791102,0.0000000000,scatter
4000,2,0.9407791102,0.0000000000,0.0000000000,-0.5266604330,exit_left
4100,1,0.0000000000,0.0000000000,0.5646226437,0.0000000000,scatter
4100,2,0.5646226437,0.0000000000,1.0849893145,-0.3574537836,scatter
4100,3,1.0849893145,-0.3574537836,0.5176957343,-1.2425884247,scatter
4100,4,0.5176957343,-1.2425884247,1.2500000000,-0.9538177645,exit_right
4200,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
4300,1,0.0000000000,0.0000000000,0.5163796415,0.0000000000,absorb
4400,1,0.0000000000,0.0000000000,0.5241928567,0.0000000000,scatter
4400,2,0.5241928567,0.0000000000,0.4931458302,0.0111369738,scatter
4400,3,0.4931458302,0.0111369738,0.3357565769,-0.0439582991,scatter
4400,4,0.3357565769,-0.0439582991,1.2500000000,1.9730937584,exit_right
4500,1,0.0000000000,0.0000000000,0.5767720650,0.0000000000,scatter
4500,2,0.5767720650,0.0000000000,1.2500000000,-0.8163671544,exit_right
4600,1,0.0000000000,0.0000000000,0.0217017729,0.0000000000,scatter
4600,2,0.0217017729,0.0000000000,1.2500000000,-0.9561106210,exit_right
4700,1,0.0000000000,0.0000000000,1.2500000000,0.0000000000,exit_right
4800,1,0.0000000000,0.0000000000,0.1611723778,0.0000000000,scatter
4800,2,0.1611723778,0.0000000000,0.0000000000,0.2224530884,exit_left
4900,1,0.0000000000,0.0000000000,0.6272212605,0.0000000000,scatter
4900,2,0.6272212605,0.0000000000,0.0000000000,0.5432493822,exit_left
5000,1,0.0000000000,0.0000000000,0.2095076328,0.0000000000,scatter
