neutron_id,step,x_start,y_start,x_end,y_end,event
100,1,0.0000000000,0.0000000000,0.7297184366,0.0000000000,scatter
100,2,0.7297184366,0.0000000000,0.6320863175,-0.0453925960,scatter
100,3,0.6320863175,-0.0453925960,1.0335900293,-0.9934906669,absorb
200,1,0.0000000000,0.0000000000,1.7422608078,0.0000000000,scatter
200,2,1.7422608078,0.0000000000,1.2072214288,1.2601053628,scatter
200,3,1.2072214288,1.2601053628,1.9906121338,1.6349200973,scatter
200,4,1.9906121338,1.6349200973,3.1427995940,1.5203261571,scatter
200,5,3.1427995940,1.5203261571,2.7514801418,2.3079288594,absorb
300,1,0.0000000000,0.0000000000,0.6920211955,0.0000000000,scatter
300,2,0.6920211955,0.0000000000,0.6499928753,-0.0038735418,scatter
300,3,0.6499928753,-0.0038735418,0.9302397137,-0.2096540023,scatter
300,4,0.9302397137,-0.2096540023,0.2429559816,2.4038468938,absorb
400,1,0.0000000000,0.0000000000,0.3802670939,0.0000000000,scatter
400,2,0.3802670939,0.0000000000,0.0000000000,0.0075171763,exit_left
500,1,0.0000000000,0.0000000000,1.1516491750,0.0000000000,scatter
500,2,1.1516491750,0.0000000000,0.0000000000,-1.7793550647,exit_left
600,1,0.0000000000,0.0000000000,3.0048679444,0.0000000000,absorb
700,1,0.0000000000,0.0000000000,2.8575181167,0.0000000000,scatter
700,2,2.8575181167,0.0000000000,1.1167763583,-0.8625990946,scatter
700,3,1.1167763583,-0.8625990946,1.0503852493,2.0355381457,scatter
700,4,1.0503852493,2.0355381457,1.5878961281,3.6503335172,absorb
800,1,0.0000000000,0.0000000000,1.4020889028,0.0000000000,scatter
800,2,1.4020889028,0.0000000000,0.0000000000,-1.3935423250,exit_left
900,1,0.0000000000,0.0000000000,0.2878731642,0.0000000000,scatter
900,2,0.2878731642,0.0000000000,0.0000000000,0.3403259209,exit_left
1000,1,0.0000000000,0.0000000000,1.9397622732,0.0000000000,scatter
1000,2,1.9397622732,0.0000000000,1.8172220737,-0.3427993090,absorb
1100,1,0.0000000000,0.0000000000,0.3686608954,0.0000000000,scatter
1100,2,0.3686608954,0.0000000000,0.5858092427,-0.6013655834,scatter
1100,3,0.5858092427,-0.6013655834,0.0000000000,-0.9226917588,exit_left
1200,1,0.0000000000,0.0000000000,2.8841554171,0.0000000000,absorb
1300,1,0.0000000000,0.0000000000,4.5000000000,0.0000000000,exit_right
1400,1,0.0000000000,0.0000000000,0.4919492528,0.0000000000,scatter
1400,2,0.4919492528,0.0000000000,0.5604115151,-0.5728313186,absorb
1500,1,0.0000000000,0.0000000000,3.6467053134,0.0000000000,scatter
1500,2,3.6467053134,0.0000000000,4.5000000000,-0.5836027472,exit_right
1600,1,0.0000000000,0.0000000000,0.5547657257,0.0000000000,scatter
1600,2,0.5547657257,0.0000000000,4.5000000000,-2.5706162425,exit_right
1700,1,0.0000000000,0.0000000000,0.6149668259,0.0000000000,absorb
1800,1,0.0000000000,0.0000000000,0.2358773206,0.0000000000,absorb
1900,1,0.0000000000,0.0000000000,3.6857860421,0.0000000000,absorb
2000,1,0.0000000000,0.0000000000,0.3128942940,0.0000000000,scatter
2000,2,0.3128942940,0.0000000000,4.5000000000,-0.7102411085,exit_right
2100,1,0.0000000000,0.0000000000,0.0870063033,0.0000000000,absorb
2200,1,0.0000000000,0.0000000000,0.7273352482,0.0000000000,scatter
2200,2,0.7273352482,0.0000000000,0.0000000000,0.0551475105,exit_left
2300,1,0.0000000000,0.0000000000,2.0325952450,0.0000000000,scatter
2300,2,2.0325952450,0.0000000000,0.9770087327,0.6847116850,scatter
2300,3,0.9770087327,0.6847116850,2.0840708089,0.7256179506,scatter
2300,4,2.0840708089,0.7256179506,1.2531325479,2.3276913098,scatter
2300,5,1.2531325479,2.3276913098,2.1578414161,2.7033175570,scatter
2300,6,2.1578414161,2.7033175570,2.1660904796,2.7010966069,scatter
2300,7,2.1660904796,2.7010966069,1.6113749911,1.9786299127,absorb
2400,1,0.0000000000,0.0000000000,4.5000000000,0.0000000000,exit_right
2500,1,0.0000000000,0.0000000000,0.2631025687,0.0000000000,scatter
2500,2,0.2631025687,0.0000000000,0.0000000000,0.0511427256,exit_left
2600,1,0.0000000000,0.0000000000,2.8195141228,0.0000000000,absorb
2700,1,0.0000000000,0.0000000000,1.3763433057,0.0000000000,scatter
2700,2,1.3763433057,0.0000000000,4.5000000000,0.9545394530,exit_right
2800,1,0.0000000000,0.0000000000,0.9349270081,0.0000000000,scatter
2800,2,0.9349270081,0.0000000000,1.1936053880,1.8036687845,scatter
2800,3,1.1936053880,1.8036687845,0.6150735850,0.9719364922,absorb
2900,1,0.0000000000,0.0000000000,1.9866538981,0.0000000000,absorb
3000,1,0.0000000000,0.0000000000,2.7499818501,0.0000000000,absorb
3100,1,0.0000000000,0.0000000000,3.3157651125,0.0000000000,scatter
3100,2,3.3157651125,0.0000000000,4.5000000000,0.5725979366,exit_right
3200,1,0.0000000000,0.0000000000,1.1750502922,0.0000000000,scatter
3200,2,1.1750502922,0.0000000000,1.4651031708,1.1866886842,absorb
3300,1,0.0000000000,0.0000000000,1.3230663311,0.0000000000,scatter
3300,2,1.3230663311,0.0000000000,0.0000000000,-0.6154268276,exit_left
3400,1,0.0000000000,0.0000000000,4.5000000000,0.0000000000,exit_right
3500,1,0.0000000000,0.0000000000,0.2976760967,0.0000000000,scatter
