rows,cols,steps,threads,problem,avg_read_time_s,avg_compute_time_s,avg_write_time_s,speedup,efficiency,count
100,100,1000,1,10000000,0.0,0.04829096794128418,0.0,1.0,1.0,5
100,100,1000,2,10000000,0.0,0.026576852798461913,0.0,1.8170310949714457,0.9085155474857228,5
100,100,1000,4,10000000,0.0,0.019477653503417968,0.0,2.479301109489909,0.6198252773724773,5
100,100,1000,8,10000000,0.0,0.012868738174438477,0.0,3.7525798789819063,0.4690724848727383,5
100,100,1000,10,10000000,0.0,0.011671972274780274,0.0,4.137344298326245,0.41373442983262454,5
100,100,1000,12,10000000,0.0,0.010335397720336915,0.0,4.672386031769466,0.38936550264745545,5
100,100,1000,14,10000000,0.0,0.009755563735961915,0.0,4.950095068649829,0.3535782191892735,5
100,100,1000,16,10000000,0.0,0.00954141616821289,0.0,5.061195014442923,0.3163246884026827,5
100,100,1000,18,10000000,0.0,0.010482978820800782,0.0,4.606607412528883,0.2559226340293824,5
100,100,1000,20,10000000,0.0,0.009622621536254882,0.0,5.018483555581985,0.25092417777909926,5
100,100,2000,1,20000000,0.0,0.09109759330749512,0.0,1.0,1.0,5
100,100,2000,2,20000000,0.0,0.054282522201538085,0.0,1.678212242409655,0.8391061212048275,5
100,100,2000,4,20000000,0.0,0.03528285026550293,0.0,2.5819227364565807,0.6454806841141452,5
100,100,2000,8,20000000,0.0,0.023899555206298828,0.0,3.811685720556254,0.47646071506953175,5
100,100,2000,10,20000000,0.0,0.021712589263916015,0.0,4.195611688693872,0.4195611688693872,5
100,100,2000,12,20000000,0.0,0.019541454315185548,0.0,4.661761189222427,0.3884800991018689,5
100,100,2000,14,20000000,0.0,0.018282222747802734,0.0,4.982851076926287,0.35591793406616334,5
100,100,2000,16,20000000,0.0,0.017861700057983397,0.0,5.100163646896449,0.31876022793102804,5
100,100,2000,18,20000000,0.0,0.017710447311401367,0.0,5.1437206359463135,0.28576225755257295,5
100,100,2000,20,20000000,0.0,0.0177457332611084,0.0,5.133492765111312,0.2566746382555656,5
100,200,1000,1,20000000,0.0,0.09014339447021484,0.0,1.0,1.0,5
100,200,1000,2,20000000,0.0,0.0504030704498291,0.0,1.788450458785899,0.8942252293929495,5
100,200,1000,4,20000000,0.0,0.03465747833251953,0.0,2.600979609807105,0.6502449024517762,5
100,200,1000,8,20000000,0.0,0.0222928524017334,0.0,4.043600740083206,0.5054500925104007,5
100,200,1000,10,20000000,0.0,0.020002031326293947,0.0,4.506711993382172,0.4506711993382172,5
100,200,1000,12,20000000,0.0,0.017685413360595703,0.0,5.097047642158052,0.4247539701798377,5
100,200,1000,14,20000000,0.0,0.016570234298706056,0.0,5.440079653988598,0.3885771181420427,5
100,200,1000,16,20000000,0.0,0.015509033203125,0.0,5.812315525383707,0.3632697203364817,5
100,200,1000,18,20000000,0.0,0.015228986740112305,0.0,5.9191984344422695,0.32884435746901497,5
100,200,1000,20,20000000,0.0,0.01508021354675293,0.0,5.97759403013391,0.2988797015066955,5
100,200,2000,1,40000000,0.0,0.17357473373413085,0.0,1.0,1.0,5
100,200,2000,2,40000000,0.0,0.09927897453308106,0.0,1.7483534106840868,0.8741767053420434,5
100,200,2000,4,40000000,0.0,0.06606354713439941,0.0,2.627390463624533,0.6568476159061333,5
100,200,2000,8,40000000,0.0,0.044078636169433597,0.0,3.937842656177655,0.4922303320222069,5
100,200,2000,10,40000000,0.0,0.03912363052368164,0.0,4.436570211168557,0.4436570211168557,5
100,200,2000,12,40000000,0.0,0.03421163558959961,0.0,5.0735584763125985,0.4227965396927165,5
100,200,2000,14,40000000,0.0,0.03283061981201172,0.0,5.286977057637674,0.377641218402691,5
100,200,2000,16,40000000,0.0,0.030272817611694335,0.0,5.733682802854771,0.3583551751784232,5
100,200,2000,18,40000000,0.0,0.029683971405029298,0.0,5.847422885763945,0.32485682698688584,5
100,200,2000,20,40000000,0.0,0.02800741195678711,0.0,6.197457087500298,0.3098728543750149,5
100,300,1000,1,30000000,0.0,0.13385353088378907,0.0,1.0,1.0,5
100,300,1000,2,30000000,0.0,0.0744539737701416,0.0,1.797802375156349,0.8989011875781745,5
100,300,1000,4,30000000,0.0,0.049559164047241214,0.0,2.7008835491291996,0.6752208872822999,5
100,300,1000,8,30000000,0.0,0.03348207473754883,0.0,3.9977669225401256,0.4997208653175157,5
