rows,cols,steps,threads,dx,dy,height,save_interval,repeat,read_time_s,compute_time_s,write_time_s,movie_bytes,movie_path
1000,1000,2000,1,1.0,1.0,0.5,100,1,0.0,12.690696954727173,0.0,504000068,
1000,1000,2000,1,1.0,1.0,0.5,100,2,0.0,13.158190965652466,0.0,504000068,
1000,1000,2000,1,1.0,1.0,0.5,100,3,0.0,13.331192970275879,0.0,504000068,
1000,1000,2000,1,1.0,1.0,0.5,100,4,0.0,13.276360034942627,0.0,504000068,
1000,1000,2000,1,1.0,1.0,0.5,100,5,0.0,13.617564916610718,0.0,504000068,
1000,1000,2000,2,1.0,1.0,0.5,100,1,0.0,7.871916055679321,0.0,504000068,
1000,1000,2000,2,1.0,1.0,0.5,100,2,0.0,7.99770188331604,0.0,504000068,
1000,1000,2000,2,1.0,1.0,0.5,100,3,0.0,8.459577083587646,0.0,504000068,
1000,1000,2000,2,1.0,1.0,0.5,100,4,0.0,7.780547857284546,0.0,504000068,
1000,1000,2000,2,1.0,1.0,0.5,100,5,0.0,7.969125986099243,0.0,504000068,
1000,1000,2000,4,1.0,1.0,0.5,100,1,0.0,6.002012014389038,0.0,504000068,
1000,1000,2000,4,1.0,1.0,0.5,100,2,0.0,5.695880174636841,0.0,504000068,
1000,1000,2000,4,1.0,1.0,0.5,100,3,0.0,5.557017803192139,0.0,504000068,
1000,1000,2000,4,1.0,1.0,0.5,100,4,0.0,5.741585969924927,0.0,504000068,
1000,1000,2000,4,1.0,1.0,0.5,100,5,0.0,5.711467027664185,0.0,504000068,
1000,1000,2000,8,1.0,1.0,0.5,100,1,0.0,5.469767093658447,0.0,504000068,
1000,1000,2000,8,1.0,1.0,0.5,100,2,0.0,5.302370071411133,0.0,504000068,
1000,1000,2000,8,1.0,1.0,0.5,100,3,0.0,5.330856084823608,0.0,504000068,
1000,1000,2000,8,1.0,1.0,0.5,100,4,0.0,5.596731901168823,0.0,504000068,
1000,1000,2000,8,1.0,1.0,0.5,100,5,0.0,5.565285921096802,0.0,504000068,
1000,1000,2000,10,1.0,1.0,0.5,100,1,0.0,6.145004987716675,0.0,504000068,
1000,1000,2000,10,1.0,1.0,0.5,100,2,0.0,5.748702049255371,0.0,504000068,
1000,1000,2000,10,1.0,1.0,0.5,100,3,0.0,5.969819068908691,0.0,504000068,
1000,1000,2000,10,1.0,1.0,0.5,100,4,0.0,5.283232927322388,0.0,504000068,
1000,1000,2000,10,1.0,1.0,0.5,100,5,0.0,5.082026958465576,0.0,504000068,
1000,1000,2000,12,1.0,1.0,0.5,100,1,0.0,4.713268995285034,0.0,504000068,
1000,1000,2000,12,1.0,1.0,0.5,100,2,0.0,5.336714029312134,0.0,504000068,
1000,1000,2000,12,1.0,1.0,0.5,100,3,0.0,5.369361877441406,0.0,504000068,
1000,1000,2000,12,1.0,1.0,0.5,100,4,0.0,5.400871992111206,0.0,504000068,
1000,1000,2000,12,1.0,1.0,0.5,100,5,0.0,5.4120259284973145,0.0,504000068,
1000,1000,2000,14,1.0,1.0,0.5,100,1,0.0,5.156641006469727,0.0,504000068,
1000,1000,2000,14,1.0,1.0,0.5,100,2,0.0,5.5683228969573975,0.0,504000068,
1000,1000,2000,14,1.0,1.0,0.5,100,3,0.0,5.180557012557983,0.0,504000068,
1000,1000,2000,14,1.0,1.0,0.5,100,4,0.0,4.519457101821899,0.0,504000068,
1000,1000,2000,14,1.0,1.0,0.5,100,5,0.0,4.721540927886963,0.0,504000068,
1000,1000,2000,16,1.0,1.0,0.5,100,1,0.0,5.1770758628845215,0.0,504000068,
1000,1000,2000,16,1.0,1.0,0.5,100,2,0.0,5.505972146987915,0.0,504000068,
1000,1000,2000,16,1.0,1.0,0.5,100,3,0.0,4.8732569217681885,0.0,504000068,
1000,1000,2000,16,1.0,1.0,0.5,100,4,0.0,5.082368850708008,0.0,504000068,
1000,1000,2000,16,1.0,1.0,0.5,100,5,0.0,5.214860916137695,0.0,504000068,
1000,1000,2000,18,1.0,1.0,0.5,100,1,0.0,6.042771100997925,0.0,504000068,
1000,1000,2000,18,1.0,1.0,0.5,100,2,0.0,5.772932052612305,0.0,504000068,
1000,1000,2000,18,1.0,1.0,0.5,100,3,0.0,5.059852123260498,0.0,504000068,
1000,1000,2000,18,1.0,1.0,0.5,100,4,0.0,5.054842948913574,0.0,504000068,
1000,1000,2000,18,1.0,1.0,0.5,100,5,0.0,5.327682971954346,0.0,504000068,
1000,1000,2000,20,1.0,1.0,0.5,100,1,0.0,6.098921060562134,0.0,504000068,
1000,1000,2000,20,1.0,1.0,0.5,100,2,0.0,5.2873170375823975,0.0,504000068,
1000,1000,2000,20,1.0,1.0,0.5,100,3,0.0,5.367002010345459,0.0,504000068,
1000,1000,2000,20,1.0,1.0,0.5,100,4,0.0,5.467184066772461,0.0,504000068,
1000,1000,2000,20,1.0,1.0,0.5,100,5,0.0,5.361536979675293,0.0,504000068,
