rows,cols,steps,threads,problem,avg_read_time_s,avg_compute_time_s,avg_write_time_s,speedup,efficiency,count
1000,1000,2000,1,2000000000,0.0,13.214801168441772,0.0,1.0,1.0,5
1000,1000,2000,2,2000000000,0.0,8.01577377319336,0.0,1.6485995665989461,0.8242997832994731,5
1000,1000,2000,4,2000000000,0.0,5.741592597961426,0.0,2.3015915781161027,0.5753978945290257,5
1000,1000,2000,8,2000000000,0.0,5.453002214431763,0.0,2.4233991934695807,0.3029248991836976,5
1000,1000,2000,10,2000000000,0.0,5.64575719833374,0.0,2.340660553440364,0.2340660553440364,5
1000,1000,2000,12,2000000000,0.0,5.246448564529419,0.0,2.5188088677330005,0.20990073897775005,5
1000,1000,2000,14,2000000000,0.0,5.029303789138794,0.0,2.6275607365338023,0.18768290975241445,5
1000,1000,2000,16,2000000000,0.0,5.170706939697266,0.0,2.5557049205375137,0.1597315575335946,5
1000,1000,2000,18,2000000000,0.0,5.45161623954773,0.0,2.424015298908509,0.13466751660602827,5
1000,1000,2000,20,2000000000,0.0,5.516392230987549,0.0,2.3955514066257844,0.11977757033128922,5
