iteration,label,job_avg,job_peak,section_job_avg,section_job_peak
0,mpi_matvec,0.510522872,0.064273384,9.611216828,366.311100692
0,mpi_matvec,0.505754526,0.031907271,19.082970814,187.027934301
0,mpi_matvec,0.531751256,0.022365781,28.361594969,126.129403917
0,mpi_matvec,0.510332274,0.016166256,37.830298704,95.261209878
0,mpi_matvec,0.491539407,0.012429756,46.976424096,63.493676030
0,mpi_matvec,0.486736290,0.010259235,54.362900395,63.478628862
0,mpi_matvec,0.426146621,0.007716646,49.709896257,53.856741069
0,mpi_matvec,0.412530985,0.006565219,47.072727709,46.370608168
0,mpi_matvec,0.410455520,0.005785370,70.280645733,36.908264242
0,mpi_matvec,0.402527039,0.005107619,78.118895399,34.650421953
0,mpi_matvec,0.389330440,0.004482911,71.154216340,32.380844174
0,mpi_matvec,0.384639484,0.004108266,73.835069923,22.123893805
0,mpi_matvec,0.378692689,0.003738292,88.727127506,20.641610046
0,mpi_matvec,0.371114805,0.003368723,96.725438361,16.807364682
0,mpi_matvec,0.363227079,0.003080110,87.565538094,17.823799015
0,mpi_matvec,0.291841341,0.002576139,81.725993397,11.771097428
0,mpi_matvec,0.541385960,0.067804054,9.580182632,747.741819705
0,mpi_matvec,0.563696182,0.035356261,19.041584025,374.666546773
0,mpi_matvec,0.608060064,0.025421280,28.802506264,246.715891232
0,mpi_matvec,0.611997261,0.019212462,38.114277471,184.917141760
0,mpi_matvec,0.613492734,0.015374148,47.242169165,142.178747121
0,mpi_matvec,0.605042486,0.012666679,50.795111085,121.374803058
0,mpi_matvec,0.595804322,0.010703053,64.557490791,89.043651287
0,mpi_matvec,0.566490835,0.008922090,70.394967405,55.560502181
0,mpi_matvec,0.574304147,0.008023325,76.977101569,52.662486503
0,mpi_matvec,0.547427035,0.006867451,68.180755616,66.807407605
0,mpi_matvec,0.548209648,0.006276733,78.502036538,57.575217181
0,mpi_matvec,0.557601746,0.005871446,79.320461950,34.258984748
0,mpi_matvec,0.514033648,0.005001403,86.963246974,27.769742551
0,mpi_matvec,0.505094230,0.004622971,80.515374867,28.173423071
0,mpi_matvec,0.512522561,0.004317108,101.529643568,36.105009026
0,mpi_matvec,0.522188182,0.004139284,86.829503958,17.996608332
0,mpi_matvec,0.551020740,0.068935740,9.607381418,1122.418437594
0,mpi_matvec,0.587324600,0.036747923,19.046401370,565.331938942
0,mpi_matvec,0.634500408,0.026474071,28.548178662,376.407765042
0,mpi_matvec,0.643555007,0.020152830,37.893620424,272.748420114
0,mpi_matvec,0.633380899,0.015849883,45.889395068,122.185657033
0,mpi_matvec,0.642806860,0.013428767,53.026151047,181.249638080
0,mpi_matvec,0.645319920,0.011539492,65.519771164,149.439601494
0,mpi_matvec,0.630587361,0.009891314,72.514514003,72.949465349
0,mpi_matvec,0.618843842,0.008638297,71.522496524,101.926359424
0,mpi_matvec,0.611680998,0.007683002,76.887028545,71.230108613
0,mpi_matvec,0.606605329,0.006928658,80.268995715,61.439333150
0,mpi_matvec,0.592557317,0.006211745,71.813142214,49.052280775
0,mpi_matvec,0.598528307,0.005795097,81.659710966,55.778527190
0,mpi_matvec,0.587245008,0.005255365,81.558054710,46.623831505
0,mpi_matvec,0.577420379,0.004914567,53.799802636,30.095583573
0,mpi_matvec,0.560629185,0.004511485,87.827275889,28.294358057
0,mpi_matvec,0.571984987,0.071540807,9.589031365,1488.848524551
0,mpi_matvec,0.604215226,0.037792467,19.048110293,753.182194775
0,mpi_matvec,0.656764106,0.027392146,28.384729256,498.468434815
0,mpi_matvec,0.663269676,0.020748517,37.495012234,361.219476955
0,mpi_matvec,0.653378827,0.016355702,46.550488970,299.374307697
0,mpi_matvec,0.666486660,0.013905318,56.880608665,245.557731094
0,mpi_matvec,0.668065709,0.011972602,65.989036403,160.095070462
0,mpi_matvec,0.654737840,0.010257529,70.089078803,165.254349146
0,mpi_matvec,0.659097330,0.009167133,79.933826105,76.088815902
0,mpi_matvec,0.659638882,0.008256159,83.595416004,95.559356695
0,mpi_matvec,0.646615632,0.007379943,89.583672243,61.348035241
0,mpi_matvec,0.629656189,0.006585080,87.855966658,72.407909438
0,mpi_matvec,0.624207904,0.006029703,88.315786129,49.925628921
0,mpi_matvec,0.630412796,0.005649635,92.979876113,39.133350189
0,mpi_matvec,0.622074761,0.005199813,98.114642518,32.403903991
0,mpi_matvec,0.611471114,0.004804644,100.097890581,39.151875612
0,mpi_matvec,0.566392940,0.070819031,9.611061052,1870.652603352
0,mpi_matvec,0.613408071,0.038366903,19.132607282,932.793483583
0,mpi_matvec,0.634200670,0.026446263,28.655249143,569.635477028
0,mpi_matvec,0.675571129,0.021142200,37.960112345,419.373892498
0,mpi_matvec,0.682050571,0.017064019,47.355270497,361.635402081
0,mpi_matvec,0.682529926,0.014233334,56.616059614,261.291713893
0,mpi_matvec,0.681311981,0.012188296,65.814360793,230.271989426
0,mpi_matvec,0.676546813,0.010589041,74.382409948,202.217129346
0,mpi_matvec,0.676905240,0.009428299,80.839066088,122.582787540
0,mpi_matvec,0.669815689,0.008392308,87.139779343,112.847222222
0,mpi_matvec,0.669496687,0.007637987,91.817128081,89.624963708
0,mpi_matvec,0.658554538,0.006881214,93.061491200,88.698879200
0,mpi_matvec,0.653052149,0.006299722,96.853886629,53.461937762
0,mpi_matvec,0.657505340,0.005894140,98.916569304,43.035737030
0,mpi_matvec,0.644233885,0.005392723,104.961631963,52.622567780
0,mpi_matvec,0.641672673,0.005042338,109.321169615,41.059330733
0,mpi_matvec,0.564995283,0.070638911,9.630524042,2251.170608719
0,mpi_matvec,0.606826370,0.037936292,19.174572325,1118.412550079
0,mpi_matvec,0.644145749,0.026849138,28.734358095,716.702023969
0,mpi_matvec,0.677669441,0.021199513,38.298474295,557.172557173
0,mpi_matvec,0.680674639,0.017022287,47.439595272,448.126829851
0,mpi_matvec,0.682788226,0.014231361,56.106728268,333.775400307
0,mpi_matvec,0.680134087,0.012157206,65.618027382,288.176676541
0,mpi_matvec,0.676362953,0.010578908,73.697218203,208.917991893
0,mpi_matvec,0.676430529,0.009407540,81.948505182,218.198943017
0,mpi_matvec,0.672454426,0.008411509,87.994761312,155.739520461
0,mpi_matvec,0.671978329,0.007642323,94.167931726,116.282374070
0,mpi_matvec,0.662994433,0.006919788,96.876996838,92.512515382
0,mpi_matvec,0.660138460,0.006362148,100.752577741,97.842278698
0,mpi_matvec,0.654884014,0.005853724,106.943106962,92.329953261
0,mpi_matvec,0.650654919,0.005474255,110.223743839,85.217104777
0,mpi_matvec,0.641198817,0.005095936,112.826014794,53.486936844
0,mpi_matvec,0.313854003,0.039235074,4.633048131,2612.140803988
0,mpi_matvec,0.502713522,0.031435359,19.027695191,1298.451256124
0,mpi_matvec,0.594229954,0.024776814,12.889581422,866.884109672
0,mpi_matvec,0.607818541,0.019003193,17.177623391,644.169971289
0,mpi_matvec,0.607898743,0.015202497,21.653613214,451.143879911
0,mpi_matvec,0.609633218,0.012718164,27.882386925,347.106652084
0,mpi_matvec,0.604712949,0.010800985,31.409074347,329.194883371
0,mpi_matvec,0.616749285,0.009641877,37.387642729,243.924191750
0,mpi_matvec,0.611505322,0.008510135,37.175797916,173.468349278
0,mpi_matvec,0.603119561,0.007550114,35.260160395,130.734561084
0,mpi_matvec,0.597143209,0.006792623,32.711489767,145.711297071
0,mpi_matvec,0.589837039,0.006152722,43.447561107,100.035237461
0,mpi_matvec,0.582959983,0.005614840,38.516415027,60.018832440
0,mpi_matvec,0.575109036,0.005144330,39.076872616,85.746377010
0,mpi_matvec,0.563931509,0.004719496,37.212462146,78.697714532
0,mpi_matvec,0.558796536,0.004399592,44.015742964,59.819170204
0,mpi_matvec,0.300003347,0.037502699,4.672755190,2996.007819590
0,mpi_matvec,0.439850743,0.027494660,14.185764528,1503.307276011
0,mpi_matvec,0.503072173,0.020968726,20.165037314,999.325590110
0,mpi_matvec,0.553168739,0.017290806,31.135054317,718.695424066
0,mpi_matvec,0.552994283,0.013827709,24.393261942,536.624631071
0,mpi_matvec,0.549362436,0.011456641,28.879189955,452.327136235
0,mpi_matvec,0.548478466,0.009805662,34.366546461,343.903716593
0,mpi_matvec,0.552186223,0.008629502,41.535193151,274.707162164
0,mpi_matvec,0.547062969,0.007605283,45.269940176,210.299374019
0,mpi_matvec,0.539798504,0.006749462,46.345064018,181.155318041
0,mpi_matvec,0.534275808,0.006078993,46.572845046,156.392993251
0,mpi_matvec,0.533379549,0.005561716,48.545869928,138.484721432
0,mpi_matvec,0.526113543,0.005064859,46.838133907,125.309204531
0,mpi_matvec,0.527522665,0.004722424,46.544647678,106.537314099
0,mpi_matvec,0.518808607,0.004332461,45.344743217,79.049512449
0,mpi_matvec,0.514418484,0.004025728,47.139673653,97.271427684
