n,p,total_s,read_s,compute_s,write_s
5000,8,0.097832666,0.086406902,0.010376732,0.000254558
5000,16,0.098098004,0.092412559,0.005211143,0.000250822
5000,24,0.093447514,0.089131442,0.00348531,0.000279505
5000,32,0.097121098,0.093150166,0.002608903,0.000593094
5000,40,0.101040634,0.097745973,0.002096872,0.000277933
5000,48,0.102648516,0.099275267,0.001801867,0.000330852
5000,56,0.117138348,0.113937954,0.001952229,0.000279295
5000,64,0.120705042,0.117698691,0.00200076,0.00027666
5000,72,0.121527067,0.118346259,0.001375395,0.000259398
5000,80,0.123733915,0.120977624,0.001224992,0.000272683
5000,88,0.127189028,0.124522005,0.001329298,0.000315854
5000,96,0.129166925,0.126357716,0.001257543,0.000404059
5000,104,0.131203972,0.128614545,0.00105355,0.000360277
5000,112,0.13424651,0.131184786,0.000912675,0.000322135
5000,120,0.137297794,0.133661991,0.001061515,0.000298251
5000,128,0.16383652,0.148820751,0.001067817,0.00035672
10000,8,0.36930312,0.326578865,0.041660446,0.00036723
10000,16,0.354178466,0.33196091,0.020916951,0.000413046
10000,24,0.328649416,0.313443158,0.013845361,0.000375506
10000,32,0.326452628,0.314508741,0.010426896,0.000394462
10000,40,0.325847069,0.315958295,0.008372966,0.000403959
10000,48,0.330297934,0.321251723,0.007872726,0.000454675
10000,56,0.335475295,0.326995519,0.006063165,0.000396415
10000,64,0.352367562,0.345134017,0.005446446,0.000452721
10000,72,0.347489293,0.340493055,0.0049275,0.000459453
10000,80,0.364671937,0.358188011,0.005341097,0.000405812
10000,88,0.363514491,0.357769284,0.004931208,0.000433655
10000,96,0.358004005,0.352215196,0.004441577,0.000490582
10000,104,0.388335049,0.382345993,0.004396363,0.000461998
10000,112,0.395830425,0.37928999,0.004600536,0.000473169
10000,120,0.389652565,0.383795297,0.003949794,0.000446068
10000,128,0.382632541,0.376286485,0.00400165,0.000480593
15000,8,0.816586224,0.720984864,0.093880266,0.000530848
15000,16,0.765761276,0.717534719,0.047071515,0.000467127
15000,24,0.709199144,0.676229351,0.031459475,0.000453652
15000,32,0.698166318,0.673702622,0.023711012,0.000543912
15000,40,0.710298168,0.689455838,0.019358162,0.000722779
15000,48,0.70000273,0.681346237,0.016655502,0.000789204
15000,56,0.697076179,0.681339845,0.013522073,0.000511472
15000,64,0.712808406,0.699661198,0.012057921,0.00049504
15000,72,0.727128138,0.713299339,0.011850532,0.000551116
15000,80,0.735028917,0.722514558,0.010974255,0.000480263
15000,88,0.740767753,0.7294378,0.010378636,0.000498196
15000,96,0.759254897,0.74642761,0.01085455,0.000501502
15000,104,0.751363797,0.739481645,0.010094571,0.000499118
15000,112,0.766117124,0.754470276,0.009703737,0.000519376
15000,120,0.778557498,0.746023464,0.013793593,0.003135853
15000,128,0.786758822,0.774526542,0.009442777,0.000534654
20000,8,1.398641403,1.230291229,0.166658836,0.00053172
20000,16,1.324029058,1.238718346,0.08353793,0.000603614
20000,24,1.218041447,1.160420505,0.05614565,0.000588256
20000,32,1.205545663,1.161693037,0.042377374,0.000615516
20000,40,1.223607718,1.187544692,0.033969121,0.001207469
20000,48,1.200183536,1.170145763,0.027906708,0.000580901
20000,56,1.196660244,1.169878601,0.023968506,0.000782079
20000,64,1.221850847,1.197426583,0.022215321,0.000604116
20000,72,1.213372611,1.19263686,0.019572484,0.000594498
20000,80,1.212011392,1.192032484,0.018422342,0.000660561
20000,88,1.237127044,1.21787389,0.016903429,0.000637147
20000,96,1.269933591,1.251576821,0.016930318,0.000628421
20000,104,1.280871086,1.263101671,0.016488558,0.000610958
