n,p,total_s,read_s,compute_s,write_s
20000,112,1.268154817,1.250946526,0.015645454,0.000613554
20000,120,1.285720301,1.268852619,0.014666143,0.00072334
20000,128,1.308189859,1.291233582,0.014428145,0.000720685
25000,8,2.206328946,1.945932644,0.259656463,0.000554953
25000,16,2.037711885,1.905782524,0.130101585,0.000672153
25000,24,1.970432097,1.882104824,0.087095038,0.000671572
25000,32,1.850043999,1.783119179,0.065469544,0.000681821
25000,40,1.83266738,1.7778151,0.052568087,0.000634713
25000,48,1.830856787,1.784710789,0.043724597,0.000887919
25000,56,1.833858658,1.794848633,0.037679506,0.000613583
25000,64,1.846935937,1.811893347,0.033527743,0.00068608
25000,72,1.845886321,1.814326925,0.030212536,0.000622149
25000,80,1.866025674,1.836312877,0.027725551,0.000645724
25000,88,1.865676217,1.838686959,0.025981944,0.000670299
25000,96,1.897415832,1.869997218,0.0254639,0.000659269
25000,104,1.913481037,1.887787185,0.024081912,0.00066475
25000,112,1.901037849,1.876203693,0.023068929,0.000721826
25000,120,1.93924989,1.914759029,0.022221076,0.000697761
25000,128,1.946979301,1.920329358,0.021011711,0.001298913
30000,8,3.18545464,2.810899991,0.373526976,0.000660121
30000,16,2.965954949,2.777248202,0.187360045,0.000793552
30000,24,2.793869236,2.66659601,0.125113655,0.001312909
30000,32,2.655784379,2.559984135,0.093662354,0.000886767
30000,40,2.644094828,2.566801805,0.075438646,0.000774757
30000,48,2.635807324,2.570711207,0.063479748,0.000720995
30000,56,2.645780788,2.589810461,0.054448165,0.000714364
30000,64,2.661066657,2.611115518,0.048082865,0.000703854
30000,72,2.659986456,2.615467235,0.043140226,0.000718462
30000,80,2.676196351,2.63379326,0.040055574,0.000779016
30000,88,2.678372774,2.638797735,0.037341598,0.000780178
30000,96,2.714662213,2.677258148,0.035823192,0.000735904
30000,104,2.725848638,2.689718378,0.034355881,0.001265531
30000,112,2.74800078,2.713638507,0.032315814,0.000784085
30000,120,2.754086237,2.70808387,0.031102147,0.000778024
30000,128,2.779324132,2.735961823,0.029935452,0.000816355
35000,8,7.805535628,6.763565744,1.04102665,0.00068571
35000,16,4.872357979,4.61432208,0.256896965,0.000804694
35000,24,4.122983772,3.810641318,0.310173776,0.000953254
35000,32,4.030206272,3.790902085,0.238018819,0.000786089
35000,40,4.029137328,3.835762498,0.192249424,0.000813189
35000,48,4.018050375,3.856867854,0.159881654,0.000784626
35000,56,4.0512562,3.916512426,0.132563432,0.00075995
35000,64,3.971864657,3.858013669,0.112251739,0.000772894
35000,72,4.005812939,3.895900729,0.10874315,0.000784555
35000,80,4.061657053,3.949287802,0.110283417,0.000856972
35000,88,4.102127905,3.989180183,0.111386537,0.000788493
35000,96,4.152712432,4.060476712,0.091113841,0.00082954
35000,104,4.201776193,4.104905265,0.095374524,0.000875567
35000,112,4.259930249,4.164917275,0.093081281,0.000886537
35000,120,4.344490265,4.225514676,0.096278624,0.000891828
35000,128,4.373467867,4.262502295,0.083838997,0.000959254
40000,8,10.66608066,9.301225176,1.363748604,0.000714514
40000,16,7.275081199,6.821703073,0.451301361,0.000894281
40000,24,6.360069375,5.953631923,0.405229171,0.000858234
40000,32,5.783421642,5.516948241,0.265486125,0.000850709
40000,40,5.786286891,5.563490883,0.220386067,0.000852853
40000,48,5.824538514,5.631415231,0.191299764,0.000840581
40000,56,5.83386053,5.667393771,0.165022724,0.000817097
40000,64,5.795066948,5.655200879,0.137389192,0.000853725
40000,72,5.848884955,5.722136097,0.124886066,0.000862601
40000,80,5.92643972,5.804717864,0.120603554,0.000909239
40000,88,5.988891268,5.868716011,0.117499687,0.000903889
40000,96,5.998956661,5.883775963,0.112979901,0.000881648
40000,104,6.081129195,5.967164712,0.11277196,0.000945308
40000,112,6.065252166,5.953432225,0.110136766,0.000948082
40000,120,6.167401124,6.054424759,0.111431039,0.000974001
40000,128,6.219993987,6.110342274,0.108464392,0.000961127
