n,trial_index,total_s,read_s,compute_s,write_s
5000,1,0.120003012,0.038187762,0.081610445,0.000175379
5000,2,0.125615554,0.043549151,0.081791045,0.000247806
5000,3,0.120252811,0.038168735,0.081829276,0.000227387
5000,4,0.119928943,0.037779164,0.08188419,0.000238138
5000,5,0.120368629,0.037876846,0.082234498,0.000229431
5000,6,0.119834785,0.03785742,0.0817193,0.000230894
5000,7,0.120140831,0.037930858,0.081942731,0.000239771
5000,8,0.120167291,0.037850075,0.082045354,0.000243928
5000,9,0.120253883,0.037925398,0.082069959,0.000230243
5000,10,0.119947697,0.037974961,0.081708619,0.000237356
5000,11,0.120205803,0.03792637,0.082014034,0.000237757
5000,12,0.120131051,0.03794271,0.081923104,0.000234511
5000,13,0.120245508,0.037941529,0.08204351,0.000231526
5000,14,0.120152833,0.037979469,0.081892495,0.000251874
5000,15,0.120099312,0.037923023,0.081912223,0.000235403
5000,16,0.119921929,0.037891224,0.081763162,0.000239109
5000,17,0.120044981,0.037866427,0.081913996,0.000236936
10000,1,0.471948516,0.141328008,0.330388824,0.000199455
10000,2,0.490668665,0.163636322,0.326714214,0.000285258
10000,3,0.468618564,0.141137308,0.327195528,0.000253096
10000,4,0.468410574,0.140538362,0.327572197,0.00026041
10000,5,0.470522685,0.140458613,0.32977558,0.00025533
15000,1,1.040535143,0.305717827,0.734554492,0.000215625
15000,2,1.096918816,0.363054272,0.733515099,0.000301457
15000,3,1.039771977,0.305440325,0.733987436,0.000296818
15000,4,1.043646583,0.30401836,0.739279105,0.000301006
15000,5,1.042433682,0.303962646,0.738127791,0.000295255
20000,1,1.847622532,0.52742812,1.319882377,0.000249379
20000,2,1.924860456,0.616162329,1.308258249,0.00037735
20000,3,1.836218751,0.527152501,1.308688759,0.000314572
20000,4,1.846429209,0.524699559,1.321347811,0.00031898
20000,5,1.84635587,0.524857175,1.321079057,0.000357052
25000,1,2.863990465,0.816511008,2.047094171,0.000309202
25000,2,3.006234525,0.961807688,2.044001427,0.000349127
25000,3,2.869366221,0.815555342,2.053321831,0.000411855
25000,4,2.881961655,0.811299711,2.070220435,0.000357181
25000,5,2.878588412,0.811461954,2.066682963,0.000367611
30000,1,4.130619409,1.171779918,2.958488843,0.000259258
30000,2,4.349424387,1.388785001,2.960175836,0.00037214
30000,3,4.151292439,1.171236796,2.979584617,0.000379934
30000,4,4.134716404,1.165766401,2.968476362,0.000382089
30000,5,4.147185297,1.164543753,2.982170418,0.000379764
35000,1,5.635487971,1.590209698,4.04486257,0.000309752
35000,2,5.878681391,1.863338775,4.014803343,0.000433245
35000,3,5.638229895,1.588765122,4.048971065,0.000387338
35000,4,5.633635343,1.582020801,4.051079907,0.000428646
35000,5,5.618052409,1.581330016,4.03530519,0.001303981
40000,1,7.325274819,2.078400333,5.246391217,0.00035671
40000,2,7.763681992,2.448836021,5.314245964,0.000472888
40000,3,7.382560023,2.081045657,5.300738028,0.000615527
40000,4,7.355654237,2.065512131,5.285938864,0.004062218
40000,5,7.366589081,2.083500833,5.282460779,0.000489862
