N,P,trial,elapsed_seconds,absorbed,transmitted,reflected
200000,2,3,0.007439258999966114,93319,46451,60230
200000,2,4,0.007000540999968052,93069,46313,60618
200000,3,0,0.00491982599999119,93301,46635,60064
200000,3,1,0.004863321000016185,92994,46487,60519
200000,3,2,0.0048157979999814415,93038,46555,60407
200000,3,3,0.00470333999999184,93312,46524,60164
200000,3,4,0.004691239999999652,93211,46237,60552
200000,4,0,0.003792663000012908,93301,46616,60083
200000,4,1,0.003778983000017888,93307,46392,60301
200000,4,2,0.004047519000039301,93130,46688,60182
200000,4,3,0.003726173000018207,93340,46325,60335
200000,4,4,0.003992008000011538,93092,46239,60669
200000,5,0,0.0031107959999872037,93310,46692,59998
200000,5,1,0.003366949999985991,93237,46549,60214
200000,5,2,0.0033811700000114797,93249,46495,60256
200000,5,3,0.003386124000030577,93194,46492,60314
200000,5,4,0.003250066000020979,92946,46396,60658
200000,6,0,0.0029985870000359682,93108,46752,60140
200000,6,1,0.0027809280000496983,92972,46751,60277
200000,6,2,0.002966922999974031,93366,46355,60279
200000,6,3,0.0027459190000058697,93230,46461,60309
200000,6,4,0.0029016049999768256,93017,46445,60538
200000,7,0,0.002445936000015081,93089,46566,60345
200000,7,1,0.0028211100000135048,92878,46576,60546
200000,7,2,0.002468256999975438,93383,46285,60332
200000,7,3,0.0026662390000069536,93341,46354,60305
200000,7,4,0.002448721000007481,93060,46419,60521
200000,8,0,0.00252013699997633,93151,46454,60395
200000,8,1,0.002517699999998513,92938,46492,60570
200000,8,2,0.0023299159999510266,93408,46337,60255
200000,8,3,0.002354787000001579,93314,46362,60324
200000,8,4,0.002577184000017496,93090,46509,60401
200000,9,0,0.002792625000040516,93094,46503,60403
200000,9,1,0.003015011999991657,92997,46279,60724
200000,9,2,0.0026258440000219707,93290,46247,60463
200000,9,3,0.0028573029999847677,93127,46540,60333
200000,9,4,0.0026650040000504305,93054,46574,60372
200000,10,0,0.002636381000002075,93108,46496,60396
200000,10,1,0.002850383999998485,93071,46300,60629
200000,10,2,0.002633088999971278,93057,46360,60583
200000,10,3,0.002614772000015364,93243,46420,60337
200000,10,4,0.0024609150000287627,93061,46615,60324
200000,11,0,0.002580797000007351,93159,46411,60430
200000,11,1,0.002547413999991477,93168,46291,60541
200000,11,2,0.002328949000002467,93163,46380,60457
200000,11,3,0.0025653669999883277,93240,46420,60340
200000,11,4,0.0026021219999847744,93034,46613,60353
200000,12,0,0.0023263749999955508,93336,46405,60259
200000,12,1,0.0023115590000202246,93250,46258,60492
200000,12,2,0.0026149160000272786,93091,46466,60443
200000,12,3,0.0026088590000199474,93276,46451,60273
200000,12,4,0.0023896910000189564,92991,46565,60444
200000,13,0,0.002439835999950901,93384,46310,60306
200000,13,1,0.002606397999954879,93277,46313,60410
200000,13,2,0.0024904590000005555,93185,46507,60308
200000,13,3,0.0023418549999973948,93157,46497,60346
200000,13,4,0.0022931230000153846,93095,46497,60408
200000,14,0,0.002541603999986819,93425,46291,60284
200000,14,1,0.0023687330000257134,93336,46349,60315
200000,14,2,0.0024334369999792216,93183,46493,60324
200000,14,3,0.002369100000009894,93121,46378,60501
200000,14,4,0.0023674899999832633,92990,46631,60379
200000,15,0,0.0022310360000119545,93251,46388,60361
200000,15,1,0.0022787369999832663,93420,46316,60264
200000,15,2,0.002311880000036126,93162,46472,60366
200000,15,3,0.002221378999990975,93029,46363,60608
200000,15,4,0.002603721999946629,92955,46611,60434
200000,16,0,0.002314821999959804,93267,46467,60266
200000,16,1,0.002214621000007355,93361,46432,60207
200000,16,2,0.0021907220000230154,93101,46472,60427
200000,16,3,0.0025007950000031087,93142,46271,60587
200000,16,4,0.0021777599999950326,92907,46585,60508
200000,17,0,0.0023759960000120373,93162,46549,60289
200000,17,1,0.0023295830000051865,93339,46566,60095
200000,17,2,0.002152219000038258,93206,46562,60232
200000,17,3,0.0023200460000225576,93053,46276,60671
200000,17,4,0.002325189999965005,93011,46423,60566
200000,18,0,0.002112318999991203,93343,46527,60130
200000,18,1,0.0023731750000024476,93344,46604,60052
200000,18,2,0.0022219659999791475,93222,46526,60252
200000,18,3,0.002460537999979806,93126,46346,60528
200000,18,4,0.0021633930000461987,92966,46437,60597
200000,19,0,0.0020783269999924414,93352,46580,60068
200000,19,1,0.002155859000026794,93408,46592,60000
200000,19,2,0.0020232590000546224,93191,46558,60251
200000,19,3,0.002055817999973897,93010,46297,60693
200000,19,4,0.002182693999998264,92984,46487,60529
200000,20,0,0.0021476019999795426,93209,46738,60053
200000,20,1,0.0019684760000018287,93436,46612,59952
200000,20,2,0.002275374000021202,93165,46552,60283
200000,20,3,0.0020073000000024876,93031,46286,60683
200000,20,4,0.0020302279999668826,92855,46533,60612
400000,1,0,0.024776081999959843,186664,93154,120182
400000,1,1,0.02594427200000382,186267,92666,121067
400000,1,2,0.02529241499996715,185860,93107,121033
400000,1,3,0.024952358999996704,186076,92993,120931
400000,1,4,0.026085958999999548,186191,92796,121013
400000,2,0,0.01344719800005123,185928,93355,120717
400000,2,1,0.013545551999982308,186235,92829,120936
400000,2,2,0.013355576000037672,186415,93007,120578
400000,2,3,0.01334525400000075,186290,92620,121090
400000,2,4,0.013134996000019328,186222,92743,121035
400000,3,0,0.009113358000035987,186161,93385,120454
400000,3,1,0.008988933000011912,186338,92988,120674
400000,3,2,0.009348857999952997,186129,93174,120697
400000,3,3,0.009149740999987444,186582,92660,120758
400000,3,4,0.009013262999985727,186257,92669,121074
400000,4,0,0.00705415200002335,186541,93092,120367
400000,4,1,0.006924280000021099,186263,93039,120698
400000,4,2,0.007544196000026204,186366,93133,120501
400000,4,3,0.006877809000002344,186763,92758,120479
400000,4,4,0.007279960000005303,186183,92937,120880
400000,5,0,0.005899022999983572,186417,93258,120325
400000,5,1,0.005763924000007137,186226,93001,120773
400000,5,2,0.005674209999995128,186331,93120,120549
400000,5,3,0.005700965000016822,186651,93050,120299
400000,5,4,0.00644657800000914,185911,93079,121010
400000,6,0,0.005236168999999791,186201,93468,120331
400000,6,1,0.0050650000000018736,186105,92919,120976
400000,6,2,0.004752763999988474,186282,92939,120779
400000,6,3,0.004763389000004281,186524,92958,120518
400000,6,4,0.0049411899999540765,186008,93028,120964
400000,7,0,0.00453096699999378,186137,93315,120548
400000,7,1,0.004204677999950945,186281,92724,120995
400000,7,2,0.004413521000003584,186110,92951,120939
400000,7,3,0.004489288000002034,186670,92783,120547
400000,7,4,0.004289849999963735,185932,93162,120906
400000,8,0,0.00402474500003791,186168,93248,120584
400000,8,1,0.004889671999990242,186309,92826,120865
400000,8,2,0.004102366999973128,186062,93216,120722
400000,8,3,0.004041076000021349,186458,92820,120722
400000,8,4,0.004729456999996273,186150,93031,120819
400000,9,0,0.004253709000010986,186283,93341,120376
400000,9,1,0.004528684999968391,186439,92778,120783
400000,9,2,0.004577391999987412,186211,93187,120602
400000,9,3,0.0045271730000422394,186012,93147,120841
400000,9,4,0.004580895000003693,186255,92922,120823
400000,10,0,0.004288170000052105,186260,93467,120273
400000,10,1,0.004231997999966097,186530,92780,120690
400000,10,2,0.0042656080000256225,186159,93068,120773
400000,10,3,0.004219539000018813,186133,92935,120932
400000,10,4,0.004196563999983027,186268,92827,120905
400000,11,0,0.004152264000026662,186436,93176,120388
400000,11,1,0.003994436999960271,186162,92991,120847
400000,11,2,0.004048648000036792,186251,93062,120687
400000,11,3,0.00428558900000553,186183,92992,120825
400000,11,4,0.003995857000006708,186435,92680,120885
400000,12,0,0.004145361999974284,186500,93015,120485
400000,12,1,0.0038474280000286853,186171,93012,120817
400000,12,2,0.0040416919999870515,186252,93098,120650
400000,12,3,0.0037579309999955512,186172,93056,120772
400000,12,4,0.0040642650000108915,186297,92834,120869
400000,13,0,0.0035369130000049154,186447,92788,120765
400000,13,1,0.0034869549999712035,186172,92951,120877
400000,13,2,0.0036245310000140307,186007,93286,120707
400000,13,3,0.0037033539999811182,186195,93090,120715
400000,13,4,0.003504620999990493,186574,92842,120584
400000,14,0,0.003425945000003594,186490,92737,120773
400000,14,1,0.0033811490000061895,186168,92918,120914
400000,14,2,0.0037422579999883965,186135,93135,120730
400000,14,3,0.0033913729999994757,186201,93133,120666
400000,14,4,0.003697826999996323,186408,92912,120680
400000,15,0,0.00325176200004762,186292,92901,120807
400000,15,1,0.003285683000001427,186172,92825,121003
400000,15,2,0.0037067199999683,186099,93070,120831
400000,15,3,0.0035515590000159136,186194,93111,120695
400000,15,4,0.00330035100000714,186227,92974,120799
400000,16,0,0.0033988870000030147,186390,92825,120785
400000,16,1,0.0033130379999875004,186384,92839,120777
400000,16,2,0.003212948999987475,186063,93071,120866
400000,16,3,0.0031509859999800938,186190,93108,120702
400000,16,4,0.0033864730000345844,186276,92987,120737
400000,17,0,0.003279159999976855,186298,92942,120760
400000,17,1,0.003403540000022076,186285,92854,120861
400000,17,2,0.0032436050000228533,186102,93060,120838
400000,17,3,0.003231620999997631,186033,93193,120774
400000,17,4,0.0034052299999984825,186345,92964,120691
400000,18,0,0.003328823000003922,186252,93024,120724
400000,18,1,0.0031823510000208444,186302,92942,120756
400000,18,2,0.003143717000000379,186114,92837,121049
400000,18,3,0.0032761069999764914,186125,93233,120642
400000,18,4,0.0032910129999663695,186257,93079,120664
400000,19,0,0.0031426060000399048,186316,93056,120628
400000,19,1,0.0030540820000055646,186376,92884,120740
400000,19,2,0.003140760999997383,186228,92770,121002
400000,19,3,0.003163448000009339,186342,93130,120528
400000,19,4,0.003083704999994552,186076,93174,120750
400000,20,0,0.00338978499996756,186359,93055,120586
400000,20,1,0.0030818820000035885,186538,92889,120573
400000,20,2,0.0030478420000008555,186362,92764,120874
400000,20,3,0.0032100489999606907,186236,93096,120668
400000,20,4,0.003168546999972932,186094,93190,120716
800000,1,0,0.04953266799998346,373003,186358,240639
800000,1,1,0.04907722199999398,372592,185443,241965
800000,1,2,0.04905510199995433,371771,186141,242088
