N,P,trial,elapsed_seconds,absorbed,transmitted,reflected
200000,2,3,0.0068631149997600005,93319,46451,60230
200000,2,4,0.006721841000398854,93069,46313,60618
200000,3,0,0.0063903879999998026,93301,46635,60064
200000,3,1,0.004642039999907865,92994,46487,60519
200000,3,2,0.0047580210002706735,93038,46555,60407
200000,3,3,0.004690719999871362,93312,46524,60164
200000,3,4,0.004762615999879927,93211,46237,60552
200000,4,0,0.003907005000201025,93301,46616,60083
200000,4,1,0.003791674000240164,93307,46392,60301
200000,4,2,0.004104725999695802,93130,46688,60182
200000,4,3,0.0039894710002954525,93340,46325,60335
200000,4,4,0.0038241130000642443,93092,46239,60669
200000,5,0,0.0032507089999853633,93310,46692,59998
200000,5,1,0.003254919000028167,93237,46549,60214
200000,5,2,0.0033174830000461952,93249,46495,60256
200000,5,3,0.003360491999956139,93194,46492,60314
200000,5,4,0.0034353199998804484,92946,46396,60658
200000,6,0,0.003117570000085834,93108,46752,60140
200000,6,1,0.003197828999873309,92972,46751,60277
200000,6,2,0.002990979000060179,93366,46355,60279
200000,6,3,0.0029525850000027276,93230,46461,60309
200000,6,4,0.0028742089998559095,93017,46445,60538
200000,7,0,0.002713064000090526,93089,46566,60345
200000,7,1,0.0024402399999416957,92878,46576,60546
200000,7,2,0.0028516309998849465,93383,46285,60332
200000,7,3,0.0025353239998366917,93341,46354,60305
200000,7,4,0.0027596380000431964,93060,46419,60521
200000,8,0,0.002369619000091916,93151,46454,60395
200000,8,1,0.0023272409998753574,92938,46492,60570
200000,8,2,0.0023962559998835786,93408,46337,60255
200000,8,3,0.002480522000041674,93314,46362,60324
200000,8,4,0.0022681650002596143,93090,46509,60401
200000,9,0,0.0027329669997016026,93094,46503,60403
200000,9,1,0.0028043759998581663,92997,46279,60724
200000,9,2,0.00262212500001624,93290,46247,60463
200000,9,3,0.0027708709999387793,93127,46540,60333
200000,9,4,0.0028351370001473697,93054,46574,60372
200000,10,0,0.00255735700011428,93108,46496,60396
200000,10,1,0.0026952800003527955,93071,46300,60629
200000,10,2,0.0025591230000827636,93057,46360,60583
200000,10,3,0.0025031129998751567,93243,46420,60337
200000,10,4,0.0025225350000255276,93061,46615,60324
200000,11,0,0.00261365599999408,93159,46411,60430
200000,11,1,0.0025710260001687857,93168,46291,60541
200000,11,2,0.0024739909999880183,93163,46380,60457
200000,11,3,0.0026059909996547503,93240,46420,60340
200000,11,4,0.002577142000063759,93034,46613,60353
200000,12,0,0.0024544800003241107,93336,46405,60259
200000,12,1,0.0025722279997353326,93250,46258,60492
200000,12,2,0.002516051999919,93091,46466,60443
200000,12,3,0.002506736000214005,93276,46451,60273
200000,12,4,0.00248536899971441,92991,46565,60444
200000,13,0,0.00238173400020969,93384,46310,60306
200000,13,1,0.00246773899971231,93277,46313,60410
200000,13,2,0.0025087170001825143,93185,46507,60308
200000,13,3,0.0024989329999698384,93157,46497,60346
200000,13,4,0.002584276999641588,93095,46497,60408
200000,14,0,0.002418760000182374,93425,46291,60284
200000,14,1,0.002446230999794352,93336,46349,60315
200000,14,2,0.002292413999839482,93183,46493,60324
200000,14,3,0.0022259329998632893,93121,46378,60501
200000,14,4,0.0022749489999114303,92990,46631,60379
